ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,58413054,8.24%,8.24%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,34725386,4.89%,13.14%
C00019,THE HONGKONG AND SHANGHAI BANKING,23354066,3.29%,16.44%
C00093,BNP PARIBAS,18690250,2.63%,19.07%
C00033,BANK OF CHINA (HONG KONG) LTD,4772008,0.67%,19.75%
C00010,CITIBANK N.A.,4340527,0.61%,20.36%
C00018,HANG SENG BANK LTD,3596212,0.50%,20.87%
C00003,THE BANK OF EAST ASIA LTD,2403578,0.33%,21.21%
B01183,CHONG HING SECURITIES LTD,1853500,0.26%,21.47%
C00015,DBS BANK (HONG KONG) LTD,985500,0.13%,21.61%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,949000,0.13%,21.74%
B01284,HANG SENG SECURITIES LTD,850521,0.12%,21.86%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,752200,0.10%,21.97%
C00042,CMB WING LUNG BANK LTD,742500,0.10%,22.07%
C00037,SHANGHAI COMMERCIAL BANK LTD,738039,0.10%,22.18%
C00041,OCBC BANK (HONG KONG) LTD,718875,0.10%,22.28%
B01353,UOB KAY HIAN (HONG KONG) LTD,695500,0.09%,22.37%
B01086,EVERBRIGHT SECURITIES INVESTMENT,630512,0.08%,22.46%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,580000,0.08%,22.55%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,452937,0.06%,22.61%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,436000,0.06%,22.67%
B01264,MIB SECURITIES (HONG KONG) LTD,422000,0.05%,22.73%
B01552,CARRIER STOCK INVESTMENT CO LTD,408500,0.05%,22.79%
B01130,BOCI SECURITIES LTD,368500,0.05%,22.84%
B01700,REALINK FINANCIAL TRADE LTD,358000,0.05%,22.89%
B01584,CHIEF SECURITIES LTD,312001,0.04%,22.93%
B01955,FUTU SECURITIES INTERNATIONAL,308500,0.04%,22.98%
