ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,67710756,15.23%,15.24%
C00033,BANK OF CHINA (HONG KONG) LTD,44083157,9.91%,25.16%
B01130,BOCI SECURITIES LTD,33503690,7.53%,32.69%
B01471,GREAT BAY SECURITIES LTD,23157120,5.21%,37.91%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,22777218,5.12%,43.03%
B01727,ICBC (ASIA) SECURITIES LTD,18949907,4.26%,47.30%
B01955,FUTU SECURITIES INTERNATIONAL,18189796,4.09%,51.39%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,16539376,3.72%,55.11%
B01814,WELL LINK SECURITIES LTD,9986029,2.24%,57.36%
B01284,HANG SENG SECURITIES LTD,8684819,1.95%,59.31%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,7751667,1.74%,61.06%
C00010,CITIBANK N.A.,6808274,1.53%,62.59%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,6320903,1.42%,64.01%
C00042,CMB WING LUNG BANK LTD,5632817,1.26%,65.28%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,5483863,1.23%,66.51%
B01590,INTERACTIVE BROKERS HONG KONG LTD,5214033,1.17%,67.68%
C00088,CHINA MERCHANTS BANK CO LTD,4616042,1.03%,68.72%
B01158,SOLID KING SECURITIES LTD,4392903,0.98%,69.71%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,4113916,0.92%,70.64%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,4082497,0.91%,71.56%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,3969360,0.89%,72.45%
B02195,LONG BRIDGE HK LTD,3963450,0.89%,73.34%
B01511,TAT LEE SECURITIES CO LTD,3445903,0.77%,74.12%
B01161,UBS SECURITIES HONG KONG LTD,3432000,0.77%,74.89%
B01183,CHONG HING SECURITIES LTD,3036252,0.68%,75.57%
B02159,USMART SECURITIES LTD,2912400,0.65%,76.23%
C00037,SHANGHAI COMMERCIAL BANK LTD,2631429,0.59%,76.82%
B01497,SINOPAC SECURITIES (ASIA) LTD,2610373,0.58%,77.41%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,2555833,0.57%,77.98%
B01423,PRUDENTIAL BROKERAGE LTD,2516266,0.56%,78.55%
B01584,CHIEF SECURITIES LTD,2511073,0.56%,79.11%
B01947,FUBON SECURITIES (HONG KONG) LTD,2486918,0.55%,79.67%
