ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01161,UBS SECURITIES HONG KONG LTD,13062900,4.80%,4.80%
C00019,THE HONGKONG AND SHANGHAI BANKING,10535200,3.87%,8.68%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,8819401,3.24%,11.92%
C00033,BANK OF CHINA (HONG KONG) LTD,5185200,1.90%,13.83%
B01086,EVERBRIGHT SECURITIES INVESTMENT,4379800,1.61%,15.44%
B01590,INTERACTIVE BROKERS HONG KONG LTD,2719800,1.00%,16.44%
B01118,EAST ASIA SECURITIES CO LTD,2418200,0.88%,17.33%
B01588,LEI SHING HONG SECURITIES LTD,2242200,0.82%,18.15%
B01584,CHIEF SECURITIES LTD,2117800,0.77%,18.93%
B02093,UPMAX SECURITIES LTD,2100200,0.77%,19.71%
B01284,HANG SENG SECURITIES LTD,1555000,0.57%,20.28%
B01130,BOCI SECURITIES LTD,1543200,0.56%,20.84%
C00010,CITIBANK N.A.,1463500,0.53%,21.38%
B01183,CHONG HING SECURITIES LTD,1344000,0.49%,21.88%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,1222600,0.44%,22.33%
B01700,REALINK FINANCIAL TRADE LTD,1047000,0.38%,22.71%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,950000,0.34%,23.06%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,785600,0.28%,23.35%
B01955,FUTU SECURITIES INTERNATIONAL,771800,0.28%,23.63%
B01813,CCB INTERNATIONAL SECURITIES LTD,758000,0.27%,23.91%
C00042,CMB WING LUNG BANK LTD,703000,0.25%,24.17%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,585000,0.21%,24.39%
B01727,ICBC (ASIA) SECURITIES LTD,575000,0.21%,24.60%
B01497,SINOPAC SECURITIES (ASIA) LTD,542000,0.19%,24.80%
C00018,HANG SENG BANK LTD,502600,0.18%,24.98%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,441000,0.16%,25.14%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,436000,0.16%,25.30%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,429200,0.15%,25.46%
B01610,KGI ASIA LTD,312000,0.11%,25.58%
C00003,THE BANK OF EAST ASIA LTD,312000,0.11%,25.69%
B01695,DAH SING SECURITIES LTD,306000,0.11%,25.80%
B01184,QUAM SECURITIES LTD,242000,0.08%,25.89%
B01328,BAN HIN SECURITIES CO LTD,231000,0.08%,25.98%
C00015,DBS BANK (HONG KONG) LTD,225000,0.08%,26.06%
C00041,OCBC BANK (HONG KONG) LTD,204000,0.07%,26.14%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,201800,0.07%,26.21%
B01423,PRUDENTIAL BROKERAGE LTD,200100,0.07%,26.28%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,150000,0.05%,26.34%
B01810,ASTRUM CAPITAL MANAGEMENT LTD,148000,0.05%,26.39%
B01119,CELESTIAL SECURITIES LTD,130000,0.04%,26.44%
C00037,SHANGHAI COMMERCIAL BANK LTD,121000,0.04%,26.49%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,120000,0.04%,26.53%
C00036,CHINA CONSTRUCTION BANK (ASIA),114800,0.04%,26.57%
B01585,SINO GRADE SECURITIES LTD,114000,0.04%,26.61%
C00088,CHINA MERCHANTS BANK CO LTD,112000,0.04%,26.66%
B01743,CEPA ALLIANCE SECURITIES LTD,106000,0.03%,26.69%
B01843,TELECOM KING SECURITIES LTD,100000,0.03%,26.73%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,94600,0.03%,26.77%
B01660,"GRANSING SECURITIES CO., LIMITED",93000,0.03%,26.80%
B01947,FUBON SECURITIES (HONG KONG) LTD,84000,0.03%,26.83%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,83600,0.03%,26.86%
B01556,LUK FOOK SECURITIES (HK) LTD,81000,0.02%,26.89%
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,80000,0.02%,26.92%
B01209,MASON SECURITIES LTD,77000,0.02%,26.95%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),70000,0.02%,26.97%
B02159,USMART SECURITIES LTD,70000,0.02%,27.00%
B01340,LEHIN SECURITIES LTD,69100,0.02%,27.03%
C00028,NANYANG COMMERCIAL BANK LTD,51400,0.01%,27.04%
B01814,WELL LINK SECURITIES LTD,48000,0.01%,27.06%
C00048,CHIYU BANKING CORPORATION LTD,48000,0.01%,27.08%
B01350,S. W. WOO & CO LTD,46000,0.01%,27.10%
B01450,DL BROKERAGE LTD,46000,0.01%,27.11%
B01649,CINDA INTERNATIONAL SECURITIES LTD,40000,0.01%,27.13%
B01940,SOFI SECURITIES (HONG KONG) LTD,40000,0.01%,27.14%
B01264,MIB SECURITIES (HONG KONG) LTD,35200,0.01%,27.16%
B01169,PUBLIC FINANCIAL SECURITIES LTD,30000,0.01%,27.17%
