ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,1644120925,9.56%,9.57%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,1438607612,8.37%,17.94%
C00018,HANG SENG BANK LTD,518624937,3.01%,20.96%
C00033,BANK OF CHINA (HONG KONG) LTD,458548101,2.66%,23.63%
C00010,CITIBANK N.A.,409342126,2.38%,26.01%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,236654372,1.37%,27.39%
B01161,UBS SECURITIES HONG KONG LTD,218576273,1.27%,28.66%
C00015,DBS BANK (HONG KONG) LTD,104339546,0.60%,29.27%
C00093,BNP PARIBAS,102150434,0.59%,29.86%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,91854265,0.53%,30.39%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,90656609,0.52%,30.92%
C00042,CMB WING LUNG BANK LTD,69568099,0.40%,31.33%
C00003,THE BANK OF EAST ASIA LTD,67896024,0.39%,31.72%
C00037,SHANGHAI COMMERCIAL BANK LTD,64385924,0.37%,32.10%
B01130,BOCI SECURITIES LTD,61831592,0.35%,32.46%
B01353,UOB KAY HIAN (HONG KONG) LTD,57089302,0.33%,32.79%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,50842194,0.29%,33.08%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,47035787,0.27%,33.36%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,43524018,0.25%,33.61%
C00041,OCBC BANK (HONG KONG) LTD,43131770,0.25%,33.86%
C00028,NANYANG COMMERCIAL BANK LTD,39689772,0.23%,34.09%
B01118,EAST ASIA SECURITIES CO LTD,34821388,0.20%,34.30%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,33933927,0.19%,34.49%
B01695,DAH SING SECURITIES LTD,31146326,0.18%,34.67%
B01727,ICBC (ASIA) SECURITIES LTD,26328537,0.15%,34.83%
C00016,DBS BANK LTD,25853368,0.15%,34.98%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,24763610,0.14%,35.12%
C00036,CHINA CONSTRUCTION BANK (ASIA),24156891,0.14%,35.26%
B01183,CHONG HING SECURITIES LTD,22840802,0.13%,35.40%
