ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,1642703947,9.55%,9.56%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,1436711328,8.36%,17.92%
C00018,HANG SENG BANK LTD,518724696,3.01%,20.94%
C00033,BANK OF CHINA (HONG KONG) LTD,459268717,2.67%,23.61%
C00010,CITIBANK N.A.,391581948,2.27%,25.89%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,235791191,1.37%,27.26%
B01161,UBS SECURITIES HONG KONG LTD,214747758,1.24%,28.51%
C00093,BNP PARIBAS,110966519,0.64%,29.16%
C00015,DBS BANK (HONG KONG) LTD,103914611,0.60%,29.76%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,90754348,0.52%,30.29%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,90257221,0.52%,30.82%
C00042,CMB WING LUNG BANK LTD,69445076,0.40%,31.22%
C00003,THE BANK OF EAST ASIA LTD,66497433,0.38%,31.61%
C00037,SHANGHAI COMMERCIAL BANK LTD,62987781,0.36%,31.97%
B01130,BOCI SECURITIES LTD,61622519,0.35%,32.33%
B01353,UOB KAY HIAN (HONG KONG) LTD,57014945,0.33%,32.66%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,49897641,0.29%,32.96%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,46845564,0.27%,33.23%
C00041,OCBC BANK (HONG KONG) LTD,44073836,0.25%,33.48%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,43240551,0.25%,33.74%
C00028,NANYANG COMMERCIAL BANK LTD,39555581,0.23%,33.97%
B01118,EAST ASIA SECURITIES CO LTD,34744248,0.20%,34.17%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,34119341,0.19%,34.37%
B01695,DAH SING SECURITIES LTD,31165284,0.18%,34.55%
B01727,ICBC (ASIA) SECURITIES LTD,26197594,0.15%,34.70%
C00016,DBS BANK LTD,25791281,0.15%,34.85%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,24643714,0.14%,34.99%
C00036,CHINA CONSTRUCTION BANK (ASIA),24086811,0.14%,35.13%
B01183,CHONG HING SECURITIES LTD,22725561,0.13%,35.27%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,22651671,0.13%,35.40%
C00048,CHIYU BANKING CORPORATION LTD,21584554,0.12%,35.52%
