ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,6937311227,16.43%,16.43%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,6161325266,14.59%,31.03%
C00019,THE HONGKONG AND SHANGHAI BANKING,6023808857,14.26%,45.30%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,3697624000,8.75%,54.05%
C00010,CITIBANK N.A.,3387359590,8.02%,62.08%
B01955,FUTU SECURITIES INTERNATIONAL,2903001915,6.87%,68.95%
C00033,BANK OF CHINA (HONG KONG) LTD,1958387697,4.63%,73.59%
B01284,HANG SENG SECURITIES LTD,834534730,1.97%,75.57%
B01901,CMB INTERNATIONAL SECURITIES LTD,780683243,1.84%,77.42%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,562038500,1.33%,78.75%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,534743096,1.26%,80.02%
B01130,BOCI SECURITIES LTD,519685536,1.23%,81.25%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),509245049,1.20%,82.46%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,463863714,1.09%,83.55%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,453359388,1.07%,84.63%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,325378050,0.77%,85.40%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,323779000,0.76%,86.17%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,233932621,0.55%,86.72%
B01727,ICBC (ASIA) SECURITIES LTD,223874600,0.53%,87.25%
C00042,CMB WING LUNG BANK LTD,220992102,0.52%,87.77%
B01161,UBS SECURITIES HONG KONG LTD,218846744,0.51%,88.29%
C00028,NANYANG COMMERCIAL BANK LTD,208115340,0.49%,88.78%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,195960548,0.46%,89.25%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,167662000,0.39%,89.65%
B01610,KGI ASIA LTD,147628194,0.34%,90.00%
C00037,SHANGHAI COMMERCIAL BANK LTD,138525048,0.32%,90.32%
B01183,CHONG HING SECURITIES LTD,137782400,0.32%,90.65%
B01564,ABCI SECURITIES CO LTD,127229000,0.30%,90.95%
B01695,DAH SING SECURITIES LTD,120549000,0.28%,91.24%
C00093,BNP PARIBAS,116925115,0.27%,91.51%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,96370056,0.22%,91.74%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,89438905,0.21%,91.95%
B01086,EVERBRIGHT SECURITIES INVESTMENT,88042572,0.20%,92.16%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,85553050,0.20%,92.37%
C00036,CHINA CONSTRUCTION BANK (ASIA),84637814,0.20%,92.57%
C00003,THE BANK OF EAST ASIA LTD,83698862,0.19%,92.76%
B01224,MERRILL LYNCH FAR EAST LTD,81641201,0.19%,92.96%
B01584,CHIEF SECURITIES LTD,79966349,0.18%,93.15%
B01590,INTERACTIVE BROKERS HONG KONG LTD,78420892,0.18%,93.33%
C00074,DEUTSCHE BANK AG,74731138,0.17%,93.51%
C00048,CHIYU BANKING CORPORATION LTD,72938000,0.17%,93.68%
B01353,UOB KAY HIAN (HONG KONG) LTD,72708569,0.17%,93.85%
C00015,DBS BANK (HONG KONG) LTD,68232604,0.16%,94.02%
B01830,MIRAE ASSET SECURITIES (HK) LTD,65694229,0.15%,94.17%
B01118,EAST ASIA SECURITIES CO LTD,62771000,0.14%,94.32%
C00041,OCBC BANK (HONG KONG) LTD,62165600,0.14%,94.47%
B01938,CHINA INDUSTRIAL SECURITIES,49789000,0.11%,94.59%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,48283000,0.11%,94.70%
C00088,CHINA MERCHANTS BANK CO LTD,48241000,0.11%,94.81%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,47251000,0.11%,94.93%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,46670999,0.11%,95.04%
B01904,VALUABLE CAPITAL LTD,40245113,0.09%,95.13%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,39390000,0.09%,95.23%
B02195,LONG BRIDGE HK LTD,38828431,0.09%,95.32%
B02003,DONGXING SECURITIES (HONG KONG) CO LTD,38206000,0.09%,95.41%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,38022000,0.09%,95.50%
B01885,HAFOO SECURITIES LTD,37587000,0.08%,95.59%
B01138,CLSA LTD,34943501,0.08%,95.67%
B02142,TIGER BROKERS (HK) GLOBAL LTD,34392000,0.08%,95.75%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,32875000,0.07%,95.83%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,28032666,0.06%,95.90%
C00016,DBS BANK LTD,25591152,0.06%,95.96%
B01497,SINOPAC SECURITIES (ASIA) LTD,22263000,0.05%,96.01%
B01962,CHINA SECURITIES (INTERNATIONAL),21747000,0.05%,96.06%
B01673,FULBRIGHT SECURITIES LTD,20113000,0.04%,96.11%
B01423,PRUDENTIAL BROKERAGE LTD,17946149,0.04%,96.15%
B01264,MIB SECURITIES (HONG KONG) LTD,17530000,0.04%,96.19%
B01900,ORIENT SECURITIES (HONG KONG) LTD,15861000,0.03%,96.23%
B01814,WELL LINK SECURITIES LTD,15303000,0.03%,96.27%
C00018,HANG SENG BANK LTD,14907619,0.03%,96.30%
