ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,25189920,4.88%,4.89%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,21112386,4.09%,8.98%
B01438,KINGSTON SECURITIES LTD,18353831,3.56%,12.54%
B01955,FUTU SECURITIES INTERNATIONAL,14865000,2.88%,15.43%
C00033,BANK OF CHINA (HONG KONG) LTD,10330521,2.00%,17.43%
B01905,SDIC SECURITIES (HONG KONG) LTD,7419080,1.43%,18.87%
C00019,THE HONGKONG AND SHANGHAI BANKING,4863520,0.94%,19.81%
B01353,UOB KAY HIAN (HONG KONG) LTD,3994520,0.77%,20.59%
B01264,MIB SECURITIES (HONG KONG) LTD,2671330,0.51%,21.10%
B01129,WOCOM SECURITIES LTD,2500300,0.48%,21.59%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,2371630,0.46%,22.05%
B01284,HANG SENG SECURITIES LTD,2340800,0.45%,22.50%
B01937,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,2260000,0.43%,22.94%
B01290,SPS SECURITIES LTD,1864000,0.36%,23.30%
B01253,STOCKWELL SECURITIES LTD,1641000,0.31%,23.62%
B01590,INTERACTIVE BROKERS HONG KONG LTD,1607740,0.31%,23.93%
C00010,CITIBANK N.A.,1399322,0.27%,24.21%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,1262540,0.24%,24.45%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,1247200,0.24%,24.69%
B01584,CHIEF SECURITIES LTD,1088800,0.21%,24.90%
B01904,VALUABLE CAPITAL LTD,1045000,0.20%,25.11%
B01686,FIRST SHANGHAI SECURITIES LTD,865600,0.16%,25.27%
B01130,BOCI SECURITIES LTD,861860,0.16%,25.44%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,740600,0.14%,25.59%
B01610,KGI ASIA LTD,695230,0.13%,25.72%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,577920,0.11%,25.83%
C00037,SHANGHAI COMMERCIAL BANK LTD,537800,0.10%,25.94%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,507880,0.09%,26.03%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,505606,0.09%,26.13%
B01416,VC BROKERAGE LTD,480240,0.09%,26.23%
B01086,EVERBRIGHT SECURITIES INVESTMENT,458440,0.08%,26.32%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,455000,0.08%,26.40%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,451400,0.08%,26.49%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,394000,0.07%,26.57%
B02142,TIGER BROKERS (HK) GLOBAL LTD,380800,0.07%,26.64%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),331200,0.06%,26.71%
B01939,SOOCHOW SECURITIES INTERNATIONAL,317240,0.06%,26.77%
B01338,EMPEROR SECURITIES LTD,315020,0.06%,26.83%
B01649,CINDA INTERNATIONAL SECURITIES LTD,314400,0.06%,26.89%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,291620,0.05%,26.95%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,280720,0.05%,27.00%
B02021,NEW HARVEST WEALTH SECURITIES COMPANY,244000,0.04%,27.05%
B01423,PRUDENTIAL BROKERAGE LTD,227714,0.04%,27.09%
C00028,NANYANG COMMERCIAL BANK LTD,227600,0.04%,27.14%
B01691,GREATER CHINA SECURITIES LTD,225200,0.04%,27.18%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,212579,0.04%,27.22%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,211940,0.04%,27.26%
B01900,ORIENT SECURITIES (HONG KONG) LTD,182300,0.03%,27.30%
C00018,HANG SENG BANK LTD,180300,0.03%,27.33%
B01673,FULBRIGHT SECURITIES LTD,168493,0.03%,27.36%
C00048,CHIYU BANKING CORPORATION LTD,157040,0.03%,27.40%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),150880,0.02%,27.42%
C00036,CHINA CONSTRUCTION BANK (ASIA),139920,0.02%,27.45%
B01118,EAST ASIA SECURITIES CO LTD,139420,0.02%,27.48%
C00093,BNP PARIBAS,132000,0.02%,27.50%
B01885,HAFOO SECURITIES LTD,131600,0.02%,27.53%
B01119,CELESTIAL SECURITIES LTD,115220,0.02%,27.55%
B01727,ICBC (ASIA) SECURITIES LTD,109640,0.02%,27.57%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,105560,0.02%,27.59%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,104680,0.02%,27.61%
B01183,CHONG HING SECURITIES LTD,104620,0.02%,27.63%
B01497,SINOPAC SECURITIES (ASIA) LTD,101100,0.01%,27.65%
