ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,23911804,18.45%,18.46%
C00033,BANK OF CHINA (HONG KONG) LTD,7551977,5.82%,24.29%
B01284,HANG SENG SECURITIES LTD,6021866,4.64%,28.93%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,4597000,3.54%,32.48%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,4468700,3.44%,35.93%
C00010,CITIBANK N.A.,3229023,2.49%,38.42%
B01955,FUTU SECURITIES INTERNATIONAL,1807503,1.39%,39.82%
B01590,INTERACTIVE BROKERS HONG KONG LTD,1591500,1.22%,41.05%
B01118,EAST ASIA SECURITIES CO LTD,1225636,0.94%,41.99%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1191201,0.91%,42.91%
C00042,CMB WING LUNG BANK LTD,982300,0.75%,43.67%
B01727,ICBC (ASIA) SECURITIES LTD,929000,0.71%,44.39%
C00015,DBS BANK (HONG KONG) LTD,864500,0.66%,45.06%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,854000,0.65%,45.72%
B01353,UOB KAY HIAN (HONG KONG) LTD,832900,0.64%,46.36%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,815500,0.62%,46.99%
B01130,BOCI SECURITIES LTD,798500,0.61%,47.60%
C00093,BNP PARIBAS,781978,0.60%,48.21%
C00036,CHINA CONSTRUCTION BANK (ASIA),773500,0.59%,48.81%
C00018,HANG SENG BANK LTD,699934,0.54%,49.35%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,699500,0.53%,49.89%
B01183,CHONG HING SECURITIES LTD,592500,0.45%,50.34%
B01695,DAH SING SECURITIES LTD,567600,0.43%,50.78%
C00016,DBS BANK LTD,536000,0.41%,51.19%
B01161,UBS SECURITIES HONG KONG LTD,529522,0.40%,51.60%
B01584,CHIEF SECURITIES LTD,490949,0.37%,51.98%
C00003,THE BANK OF EAST ASIA LTD,486400,0.37%,52.36%
C00041,OCBC BANK (HONG KONG) LTD,485700,0.37%,52.73%
C00028,NANYANG COMMERCIAL BANK LTD,448500,0.34%,53.08%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,414500,0.31%,53.40%
C00037,SHANGHAI COMMERCIAL BANK LTD,411600,0.31%,53.72%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,385468,0.29%,54.01%
B01322,WATON SECURITIES INTERNATIONAL LIMITED,362000,0.27%,54.29%
B01119,CELESTIAL SECURITIES LTD,351400,0.27%,54.56%
B01782,SEAGA INTERNATIONAL LTD,341500,0.26%,54.83%
B01086,EVERBRIGHT SECURITIES INVESTMENT,291200,0.22%,55.05%
C00048,CHIYU BANKING CORPORATION LTD,251500,0.19%,55.25%
B01169,PUBLIC FINANCIAL SECURITIES LTD,251000,0.19%,55.44%
B01610,KGI ASIA LTD,242000,0.18%,55.63%
B01224,MERRILL LYNCH FAR EAST LTD,228730,0.17%,55.80%
B01324,FUNDERSTONE SECURITIES LTD,214000,0.16%,55.97%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,192500,0.14%,56.12%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,140500,0.10%,56.23%
B01423,PRUDENTIAL BROKERAGE LTD,137000,0.10%,56.33%
B01272,FB SECURITIES (HONG KONG) LTD,86218,0.06%,56.40%
B01904,VALUABLE CAPITAL LTD,85500,0.06%,56.46%
B01497,SINOPAC SECURITIES (ASIA) LTD,77500,0.05%,56.52%
B01940,SOFI SECURITIES (HONG KONG) LTD,75500,0.05%,56.58%
B02175,WEBULL SECURITIES LTD,70500,0.05%,56.64%
B01264,MIB SECURITIES (HONG KONG) LTD,66000,0.05%,56.69%
