ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,32385901,13.62%,13.62%
B01086,EVERBRIGHT SECURITIES INVESTMENT,9361337,3.93%,17.56%
C00010,CITIBANK N.A.,8384211,3.52%,21.09%
B01955,FUTU SECURITIES INTERNATIONAL,8368676,3.52%,24.61%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,7729999,3.25%,27.86%
B01252,CORPORATE BROKERS LTD,7203795,3.03%,30.89%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,7178601,3.01%,33.91%
B01130,BOCI SECURITIES LTD,6625320,2.78%,36.70%
B01590,INTERACTIVE BROKERS HONG KONG LTD,6115007,2.57%,39.27%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),6080000,2.55%,41.83%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,4598841,1.93%,43.77%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,4044000,1.70%,45.47%
C00042,CMB WING LUNG BANK LTD,3033012,1.27%,46.74%
C00033,BANK OF CHINA (HONG KONG) LTD,2986837,1.25%,48.00%
C00018,HANG SENG BANK LTD,1762443,0.74%,48.74%
B01971,HGNH INTERNATIONAL SECURITIES CO LTD,1692000,0.71%,49.45%
B01686,FIRST SHANGHAI SECURITIES LTD,1478000,0.62%,50.07%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1298668,0.54%,50.62%
B02195,LONG BRIDGE HK LTD,1096000,0.46%,51.08%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,1072049,0.45%,51.53%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,1038000,0.43%,51.97%
B01284,HANG SENG SECURITIES LTD,1025727,0.43%,52.40%
C00016,DBS BANK LTD,842729,0.35%,52.76%
B02142,TIGER BROKERS (HK) GLOBAL LTD,660000,0.27%,53.03%
C00107,"INDUSTRIAL BANK CO., LTD.",652000,0.27%,53.31%
B01901,CMB INTERNATIONAL SECURITIES LTD,620000,0.26%,53.57%
B01962,CHINA SECURITIES (INTERNATIONAL),516000,0.21%,53.79%
B01653,WAI MAN STOCK & SHARES CO LTD,486000,0.20%,53.99%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,458001,0.19%,54.18%
B01209,MASON SECURITIES LTD,408263,0.17%,54.35%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,401500,0.16%,54.52%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,398000,0.16%,54.69%
B01584,CHIEF SECURITIES LTD,354001,0.14%,54.84%
B01700,REALINK FINANCIAL TRADE LTD,320000,0.13%,54.97%
C00088,CHINA MERCHANTS BANK CO LTD,318000,0.13%,55.11%
