ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,570149989,26.75%,26.75%
C00010,CITIBANK N.A.,136983351,6.42%,33.18%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,133808500,6.27%,39.46%
C00033,BANK OF CHINA (HONG KONG) LTD,56312191,2.64%,42.10%
C00018,HANG SENG BANK LTD,55078031,2.58%,44.69%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,44251805,2.07%,46.76%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,29560795,1.38%,48.15%
B01284,HANG SENG SECURITIES LTD,20841456,0.97%,49.13%
C00003,THE BANK OF EAST ASIA LTD,19019626,0.89%,50.02%
B01161,UBS SECURITIES HONG KONG LTD,16780960,0.78%,50.81%
C00042,CMB WING LUNG BANK LTD,11363992,0.53%,51.34%
C00093,BNP PARIBAS,9850899,0.46%,51.80%
C00037,SHANGHAI COMMERCIAL BANK LTD,9380720,0.44%,52.24%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,9306953,0.43%,52.68%
B01727,ICBC (ASIA) SECURITIES LTD,7432630,0.34%,53.03%
B01130,BOCI SECURITIES LTD,7290837,0.34%,53.37%
C00041,OCBC BANK (HONG KONG) LTD,7147164,0.33%,53.71%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,6541015,0.30%,54.01%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,6429251,0.30%,54.32%
C00015,DBS BANK (HONG KONG) LTD,5687237,0.26%,54.58%
B01183,CHONG HING SECURITIES LTD,5617206,0.26%,54.85%
B01118,EAST ASIA SECURITIES CO LTD,4771747,0.22%,55.07%
B01695,DAH SING SECURITIES LTD,4507472,0.21%,55.28%
C00028,NANYANG COMMERCIAL BANK LTD,4078741,0.19%,55.47%
B01955,FUTU SECURITIES INTERNATIONAL,3843240,0.18%,55.65%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,3549275,0.16%,55.82%
B01590,INTERACTIVE BROKERS HONG KONG LTD,3224059,0.15%,55.97%
C00036,CHINA CONSTRUCTION BANK (ASIA),2931703,0.13%,56.11%
B01353,UOB KAY HIAN (HONG KONG) LTD,2926801,0.13%,56.25%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2504134,0.11%,56.36%
C00048,CHIYU BANKING CORPORATION LTD,2183702,0.10%,56.47%
B01086,EVERBRIGHT SECURITIES INVESTMENT,2042782,0.09%,56.56%
B01584,CHIEF SECURITIES LTD,1590406,0.07%,56.64%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,1542827,0.07%,56.71%
C00016,DBS BANK LTD,1519184,0.07%,56.78%
C00074,DEUTSCHE BANK AG,1410576,0.06%,56.85%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1386421,0.06%,56.91%
B01610,KGI ASIA LTD,1151030,0.05%,56.97%
