ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01086,EVERBRIGHT SECURITIES INVESTMENT,220899431,24.57%,24.58%
B01161,UBS SECURITIES HONG KONG LTD,191192036,21.27%,45.85%
C00019,THE HONGKONG AND SHANGHAI BANKING,47271367,5.25%,51.11%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,31707000,3.52%,54.64%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,28712000,3.19%,57.83%
C00003,THE BANK OF EAST ASIA LTD,16090313,1.79%,59.62%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,13353200,1.48%,61.11%
C00033,BANK OF CHINA (HONG KONG) LTD,9301583,1.03%,62.14%
B01183,CHONG HING SECURITIES LTD,8052735,0.89%,63.04%
B01955,FUTU SECURITIES INTERNATIONAL,6516648,0.72%,63.76%
B01264,MIB SECURITIES (HONG KONG) LTD,5079000,0.56%,64.33%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,5061245,0.56%,64.89%
B01284,HANG SENG SECURITIES LTD,4752059,0.52%,65.42%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,3969475,0.44%,65.86%
B01130,BOCI SECURITIES LTD,3681982,0.40%,66.27%
C00018,HANG SENG BANK LTD,3288428,0.36%,66.64%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,3266230,0.36%,67.00%
B02132,BOOM SECURITIES (H.K.) LTD,3256000,0.36%,67.36%
B01700,REALINK FINANCIAL TRADE LTD,3224000,0.35%,67.72%
C00010,CITIBANK N.A.,3021865,0.33%,68.06%
B01584,CHIEF SECURITIES LTD,2985698,0.33%,68.39%
B01123,HING WONG SECURITIES LTD,2655800,0.29%,68.69%
C00041,OCBC BANK (HONG KONG) LTD,2411190,0.26%,68.95%
C00016,DBS BANK LTD,2048000,0.22%,69.18%
B01590,INTERACTIVE BROKERS HONG KONG LTD,2015000,0.22%,69.41%
B01727,ICBC (ASIA) SECURITIES LTD,1920313,0.21%,69.62%
B01118,EAST ASIA SECURITIES CO LTD,1747926,0.19%,69.81%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1733110,0.19%,70.01%
C00037,SHANGHAI COMMERCIAL BANK LTD,1560189,0.17%,70.18%
B01298,GET NICE SECURITIES LTD,1475977,0.16%,70.35%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,1381486,0.15%,70.50%
B01695,DAH SING SECURITIES LTD,1269482,0.14%,70.64%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,1226000,0.13%,70.78%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1201032,0.13%,70.91%
B01416,VC BROKERAGE LTD,1110200,0.12%,71.03%
C00042,CMB WING LUNG BANK LTD,1006801,0.11%,71.15%
B01353,UOB KAY HIAN (HONG KONG) LTD,947386,0.10%,71.25%
B01941,CENTALINE SECURITIES LTD,876000,0.09%,71.35%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,819000,0.09%,71.44%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,782718,0.08%,71.53%
B01904,VALUABLE CAPITAL LTD,755800,0.08%,71.61%
C00028,NANYANG COMMERCIAL BANK LTD,733952,0.08%,71.69%
B01893,WINCO SECURITIES CO LTD,730888,0.08%,71.77%
C00015,DBS BANK (HONG KONG) LTD,704994,0.07%,71.85%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),652000,0.07%,71.92%
B02093,UPMAX SECURITIES LTD,610133,0.06%,71.99%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,573169,0.06%,72.06%
C00093,BNP PARIBAS,554517,0.06%,72.12%
B01433,HING WAI ALLIED SECURITIES LTD,532693,0.05%,72.18%
B01610,KGI ASIA LTD,493324,0.05%,72.23%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,469342,0.05%,72.28%
B02159,USMART SECURITIES LTD,438000,0.04%,72.33%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,404000,0.04%,72.38%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,398513,0.04%,72.42%
B01224,MERRILL LYNCH FAR EAST LTD,386847,0.04%,72.47%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,381216,0.04%,72.51%
C00048,CHIYU BANKING CORPORATION LTD,373843,0.04%,72.55%
B02078,AFFLUX SECURITIES LTD,274000,0.03%,72.58%
B01445,VICTORY SECURITIES CO LTD,273987,0.03%,72.61%
B01373,CHRISTFUND SECURITIES LTD,263320,0.02%,72.64%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,242543,0.02%,72.67%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,232288,0.02%,72.69%
B01901,CMB INTERNATIONAL SECURITIES LTD,226000,0.02%,72.72%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,221685,0.02%,72.74%
B01714,MAGE SECURITIES LTD,212000,0.02%,72.77%
C00036,CHINA CONSTRUCTION BANK (ASIA),191703,0.02%,72.79%
B01423,PRUDENTIAL BROKERAGE LTD,181912,0.02%,72.81%
B01497,SINOPAC SECURITIES (ASIA) LTD,164793,0.01%,72.83%
B01556,LUK FOOK SECURITIES (HK) LTD,155400,0.01%,72.84%
B01173,RIFA SECURITIES LTD,149841,0.01%,72.86%
B01252,CORPORATE BROKERS LTD,146400,0.01%,72.88%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,141800,0.01%,72.89%
B01272,FB SECURITIES (HONG KONG) LTD,120233,0.01%,72.91%
B01552,CARRIER STOCK INVESTMENT CO LTD,115999,0.01%,72.92%
B01673,FULBRIGHT SECURITIES LTD,111189,0.01%,72.93%
B01450,DL BROKERAGE LTD,92746,0.01%,72.94%
B02091,STAR RIVER SECURITIES LTD,92000,0.01%,72.95%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,91925,0.01%,72.96%
