ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,145485243,16.12%,16.12%
C00010,CITIBANK N.A.,110149921,12.20%,28.33%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,79029993,8.75%,37.08%
B01161,UBS SECURITIES HONG KONG LTD,54076374,5.99%,43.07%
C00093,BNP PARIBAS,34674553,3.84%,46.92%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,32571403,3.60%,50.53%
C00015,DBS BANK (HONG KONG) LTD,31212521,3.45%,53.98%
B01510,ORIENTAL PATRON SECURITIES LTD,27156000,3.00%,56.99%
C00033,BANK OF CHINA (HONG KONG) LTD,27123074,3.00%,60.00%
B01183,CHONG HING SECURITIES LTD,24712918,2.73%,62.74%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,11254143,1.24%,63.98%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,9209042,1.02%,65.00%
B01610,KGI ASIA LTD,5753160,0.63%,65.64%
B01353,UOB KAY HIAN (HONG KONG) LTD,5633034,0.62%,66.27%
B01284,HANG SENG SECURITIES LTD,5604841,0.62%,66.89%
B01118,EAST ASIA SECURITIES CO LTD,4683147,0.51%,67.41%
B01590,INTERACTIVE BROKERS HONG KONG LTD,4396285,0.48%,67.89%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,4072328,0.45%,68.34%
C00016,DBS BANK LTD,3592000,0.39%,68.74%
C00018,HANG SENG BANK LTD,3516344,0.38%,69.13%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,2460974,0.27%,69.40%
B01130,BOCI SECURITIES LTD,1936802,0.21%,69.62%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,1877352,0.20%,69.83%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1863571,0.20%,70.03%
B01727,ICBC (ASIA) SECURITIES LTD,1856112,0.20%,70.24%
B01584,CHIEF SECURITIES LTD,1798171,0.19%,70.44%
B01264,MIB SECURITIES (HONG KONG) LTD,1700721,0.18%,70.63%
B01086,EVERBRIGHT SECURITIES INVESTMENT,1420269,0.15%,70.78%
B01695,DAH SING SECURITIES LTD,1351999,0.14%,70.93%
C00042,CMB WING LUNG BANK LTD,1330733,0.14%,71.08%
C00028,NANYANG COMMERCIAL BANK LTD,1140521,0.12%,71.21%
C00037,SHANGHAI COMMERCIAL BANK LTD,1092975,0.12%,71.33%
C00048,CHIYU BANKING CORPORATION LTD,1048416,0.11%,71.45%
B01955,FUTU SECURITIES INTERNATIONAL,990714,0.10%,71.56%
C00041,OCBC BANK (HONG KONG) LTD,953389,0.10%,71.66%
C00003,THE BANK OF EAST ASIA LTD,741720,0.08%,71.74%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,695017,0.07%,71.82%
B01169,PUBLIC FINANCIAL SECURITIES LTD,608000,0.06%,71.89%
B01814,WELL LINK SECURITIES LTD,500000,0.05%,71.94%
B01497,SINOPAC SECURITIES (ASIA) LTD,481000,0.05%,72.00%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,397189,0.04%,72.04%
B01338,EMPEROR SECURITIES LTD,382000,0.04%,72.08%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,335890,0.03%,72.12%
B01783,FREDDY CO LTD,314285,0.03%,72.15%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,302428,0.03%,72.19%
B01173,RIFA SECURITIES LTD,300999,0.03%,72.22%
B02158,DT SECURITIES & FUTURES CO. LTD,250000,0.02%,72.25%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,199000,0.02%,72.27%
B01198,PO KAY SECURITIES & SHARES CO LTD,175571,0.01%,72.29%
B01669,FIRST SECURITIES (HK) LTD,175000,0.01%,72.31%
B01289,SOUTH CHINA SECURITIES LTD,169923,0.01%,72.33%
B02132,BOOM SECURITIES (H.K.) LTD,159166,0.01%,72.35%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,158985,0.01%,72.36%
C00036,CHINA CONSTRUCTION BANK (ASIA),135522,0.01%,72.38%
B01416,VC BROKERAGE LTD,133332,0.01%,72.39%
B01445,VICTORY SECURITIES CO LTD,130000,0.01%,72.41%
B01423,PRUDENTIAL BROKERAGE LTD,123008,0.01%,72.42%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,120000,0.01%,72.43%
B01119,CELESTIAL SECURITIES LTD,102000,0.01%,72.45%
B01184,QUAM SECURITIES LTD,100000,0.01%,72.46%
B01789,HO FUNG SHARES INVESTMENT LTD,100000,0.01%,72.47%
B01433,HING WAI ALLIED SECURITIES LTD,89049,0.00%,72.48%
B01700,REALINK FINANCIAL TRADE LTD,88000,0.00%,72.49%
B01340,LEHIN SECURITIES LTD,81528,0.00%,72.50%
