ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00033,BANK OF CHINA (HONG KONG) LTD,38075456,15.02%,15.03%
C00019,THE HONGKONG AND SHANGHAI BANKING,17475200,6.89%,21.93%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,15583900,6.15%,28.08%
C00003,THE BANK OF EAST ASIA LTD,14423200,5.69%,33.77%
B01130,BOCI SECURITIES LTD,14209300,5.60%,39.38%
B01584,CHIEF SECURITIES LTD,11992500,4.73%,44.11%
B01590,INTERACTIVE BROKERS HONG KONG LTD,11025000,4.35%,48.46%
B01284,HANG SENG SECURITIES LTD,9370800,3.69%,52.16%
B01184,QUAM SECURITIES LTD,7486200,2.95%,55.12%
B01610,KGI ASIA LTD,6831900,2.69%,57.81%
B01592,PLATINUM BROKING CO LTD,5300000,2.09%,59.90%
B01497,SINOPAC SECURITIES (ASIA) LTD,4687000,1.84%,61.75%
B01714,MAGE SECURITIES LTD,4600000,1.81%,63.57%
B01086,EVERBRIGHT SECURITIES INVESTMENT,4178500,1.64%,65.22%
C00018,HANG SENG BANK LTD,3873300,1.52%,66.75%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,3567000,1.40%,68.16%
B01700,REALINK FINANCIAL TRADE LTD,3320300,1.31%,69.47%
C00041,OCBC BANK (HONG KONG) LTD,2828300,1.11%,70.58%
B01955,FUTU SECURITIES INTERNATIONAL,2739000,1.08%,71.66%
C00042,CMB WING LUNG BANK LTD,2276200,0.89%,72.56%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,1655000,0.65%,73.22%
B01514,KARL-THOMSON SECURITIES CO LTD,1611000,0.63%,73.85%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1434100,0.56%,74.42%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,1245000,0.49%,74.91%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,1022700,0.40%,75.31%
B01673,FULBRIGHT SECURITIES LTD,985400,0.38%,75.70%
C00037,SHANGHAI COMMERCIAL BANK LTD,941500,0.37%,76.07%
B01695,DAH SING SECURITIES LTD,864000,0.34%,76.41%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,771700,0.30%,76.72%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,722300,0.28%,77.00%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,709000,0.27%,77.28%
B01267,WINFULL SECURITIES LTD,704000,0.27%,77.56%
B01901,CMB INTERNATIONAL SECURITIES LTD,700000,0.27%,77.84%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,669500,0.26%,78.10%
B01183,CHONG HING SECURITIES LTD,661600,0.26%,78.36%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,652800,0.25%,78.62%
B01118,EAST ASIA SECURITIES CO LTD,646300,0.25%,78.88%
B01904,VALUABLE CAPITAL LTD,630200,0.24%,79.12%
C00048,CHIYU BANKING CORPORATION LTD,567300,0.22%,79.35%
B01843,TELECOM KING SECURITIES LTD,494600,0.19%,79.54%
B01627,SDHG INTERNATIONAL SECURITIES LTD,480000,0.18%,79.73%
B01343,CELETIO INVESTMENTS LTD,472000,0.18%,79.92%
B01459,IFAST SECURITIES (HK) LTD,470000,0.18%,80.10%
C00010,CITIBANK N.A.,465800,0.18%,80.29%
C00028,NANYANG COMMERCIAL BANK LTD,459000,0.18%,80.47%
B01509,UNICORN SECURITIES CO LTD,430000,0.16%,80.64%
B01224,MERRILL LYNCH FAR EAST LTD,410000,0.16%,80.80%
B01727,ICBC (ASIA) SECURITIES LTD,408200,0.16%,80.96%
B01353,UOB KAY HIAN (HONG KONG) LTD,372200,0.14%,81.11%
C00088,CHINA MERCHANTS BANK CO LTD,360100,0.14%,81.25%
B02045,AAA SECURITIES CO. LTD,318800,0.12%,81.38%
C00036,CHINA CONSTRUCTION BANK (ASIA),276000,0.10%,81.49%
B01289,SOUTH CHINA SECURITIES LTD,256200,0.10%,81.59%
B01980,SHANXI SECURITIES INTERNATIONAL LTD,250000,0.09%,81.69%
C00016,DBS BANK LTD,220000,0.08%,81.77%
B01963,TFI SECURITIES AND FUTURES LTD,200000,0.07%,81.85%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,186700,0.07%,81.93%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,184000,0.07%,82.00%
