ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,4332278977,51.29%,51.29%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,1823710000,21.59%,72.88%
C00033,BANK OF CHINA (HONG KONG) LTD,257037404,3.04%,75.93%
C00019,THE HONGKONG AND SHANGHAI BANKING,218864137,2.59%,78.52%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,207808300,2.46%,80.98%
B01955,FUTU SECURITIES INTERNATIONAL,155512004,1.84%,82.82%
B01130,BOCI SECURITIES LTD,138165123,1.63%,84.46%
B01666,GLORY SUN SECURITIES LTD,117840012,1.39%,85.85%
B01993,CROSBY SECURITIES LTD,114044000,1.35%,87.20%
B01727,ICBC (ASIA) SECURITIES LTD,94492623,1.11%,88.32%
B01438,KINGSTON SECURITIES LTD,84040000,0.99%,89.31%
B01904,VALUABLE CAPITAL LTD,70042000,0.82%,90.14%
B01284,HANG SENG SECURITIES LTD,64657242,0.76%,90.91%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,55108154,0.65%,91.56%
C00015,DBS BANK (HONG KONG) LTD,53349539,0.63%,92.19%
B01086,EVERBRIGHT SECURITIES INVESTMENT,48758381,0.57%,92.77%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,46569316,0.55%,93.32%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,40485075,0.47%,93.80%
B02195,LONG BRIDGE HK LTD,39066000,0.46%,94.26%
C00028,NANYANG COMMERCIAL BANK LTD,37743004,0.44%,94.71%
B01584,CHIEF SECURITIES LTD,29321508,0.34%,95.06%
C00088,CHINA MERCHANTS BANK CO LTD,24518000,0.29%,95.35%
C00010,CITIBANK N.A.,23955389,0.28%,95.63%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,20816000,0.24%,95.88%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,14381918,0.17%,96.05%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,13952011,0.16%,96.21%
B01610,KGI ASIA LTD,13138581,0.15%,96.37%
B01497,SINOPAC SECURITIES (ASIA) LTD,12916760,0.15%,96.52%
C00037,SHANGHAI COMMERCIAL BANK LTD,12755591,0.15%,96.67%
B01416,VC BROKERAGE LTD,11716693,0.13%,96.81%
C00042,CMB WING LUNG BANK LTD,10465825,0.12%,96.94%
C00036,CHINA CONSTRUCTION BANK (ASIA),9898009,0.11%,97.05%
B01813,CCB INTERNATIONAL SECURITIES LTD,9614000,0.11%,97.17%
B01695,DAH SING SECURITIES LTD,9460117,0.11%,97.28%
B01885,HAFOO SECURITIES LTD,8522000,0.10%,97.38%
B02163,GOLDEN EAGLE BROKERAGE LTD,8000000,0.09%,97.47%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,7690267,0.09%,97.57%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,7330000,0.08%,97.65%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,6930105,0.08%,97.73%
B01356,DELTA ASIA SECURITIES LTD,6821237,0.08%,97.81%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),6760000,0.08%,97.89%
C00048,CHIYU BANKING CORPORATION LTD,6594596,0.07%,97.97%
B01556,LUK FOOK SECURITIES (HK) LTD,6527085,0.07%,98.05%
B01963,TFI SECURITIES AND FUTURES LTD,5566000,0.06%,98.12%
B01590,INTERACTIVE BROKERS HONG KONG LTD,5432009,0.06%,98.18%
C00003,THE BANK OF EAST ASIA LTD,5374000,0.06%,98.24%
B02120,LIVERMORE HOLDINGS LTD,5048000,0.05%,98.30%
B01977,ZHONGCAI SECURITIES LTD,5000000,0.05%,98.36%
B01905,SDIC SECURITIES (HONG KONG) LTD,4866000,0.05%,98.42%
C00093,BNP PARIBAS,4843185,0.05%,98.48%
B01183,CHONG HING SECURITIES LTD,4818016,0.05%,98.54%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,4766428,0.05%,98.59%
B01523,EVER-LONG SECURITIES CO LTD,4762920,0.05%,98.65%
B01564,ABCI SECURITIES CO LTD,4526819,0.05%,98.70%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,4252468,0.05%,98.75%
B01469,KAISER SECURITIES LTD,4080054,0.04%,98.80%
B01161,UBS SECURITIES HONG KONG LTD,4002526,0.04%,98.85%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,3896770,0.04%,98.89%
B01947,FUBON SECURITIES (HONG KONG) LTD,3682237,0.04%,98.94%
B01773,TOYO SECURITIES ASIA LTD,3600000,0.04%,98.98%
B02159,USMART SECURITIES LTD,3118000,0.03%,99.02%
B02032,FORTHRIGHT SECURITIES CO LTD,3094000,0.03%,99.05%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,3020730,0.03%,99.09%
B02142,TIGER BROKERS (HK) GLOBAL LTD,2978000,0.03%,99.12%
B01353,UOB KAY HIAN (HONG KONG) LTD,2627645,0.03%,99.16%
B01459,IFAST SECURITIES (HK) LTD,2598000,0.03%,99.19%
B02175,WEBULL SECURITIES LTD,2546006,0.03%,99.22%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,2528000,0.02%,99.25%
B01118,EAST ASIA SECURITIES CO LTD,2502642,0.02%,99.28%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,2452111,0.02%,99.31%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,2450009,0.02%,99.33%
B02132,BOOM SECURITIES (H.K.) LTD,2253842,0.02%,99.36%
B01962,CHINA SECURITIES (INTERNATIONAL),2206000,0.02%,99.39%
B01433,HING WAI ALLIED SECURITIES LTD,2000585,0.02%,99.41%
B01439,TAI TAK SECURITIES (ASIA) LTD,1900000,0.02%,99.43%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,1892310,0.02%,99.46%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,1590006,0.01%,99.47%
B02087,GLOBAL MASTERMIND SECURITIES LTD,1560000,0.01%,99.49%
B01700,REALINK FINANCIAL TRADE LTD,1500057,0.01%,99.51%
B01936,MIGHTY BROKERAGE (ASIA) LTD,1500000,0.01%,99.53%
B01275,SANFULL SECURITIES LTD,1437973,0.01%,99.55%
B01814,WELL LINK SECURITIES LTD,1148000,0.01%,99.56%
B01843,TELECOM KING SECURITIES LTD,1130000,0.01%,99.57%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1046000,0.01%,99.58%
B02047,EDDID SECURITIES AND FUTURES LTD,1046000,0.01%,99.60%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,1020412,0.01%,99.61%
B01511,TAT LEE SECURITIES CO LTD,1000942,0.01%,99.62%
B01298,GET NICE SECURITIES LTD,1000498,0.01%,99.63%
B01743,CEPA ALLIANCE SECURITIES LTD,1000000,0.01%,99.64%
C00018,HANG SENG BANK LTD,916698,0.01%,99.66%
B01423,PRUDENTIAL BROKERAGE LTD,906622,0.01%,99.67%
B01289,SOUTH CHINA SECURITIES LTD,896524,0.01%,99.68%
B01676,TAI SHING STOCK INVESTMENT CO LTD,802379,0.00%,99.69%
B01389,ZHONGRONG PT SECURITIES LTD,774418,0.00%,99.70%
B01209,MASON SECURITIES LTD,644155,0.00%,99.70%
B01294,CS WEALTH SECURITIES LTD,600000,0.00%,99.71%
B01673,FULBRIGHT SECURITIES LTD,581806,0.00%,99.72%
B01224,MERRILL LYNCH FAR EAST LTD,570108,0.00%,99.72%
B01322,WATON SECURITIES INTERNATIONAL LIMITED,528000,0.00%,99.73%
C00041,OCBC BANK (HONG KONG) LTD,508292,0.00%,99.74%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,502066,0.00%,99.74%
B01940,SOFI SECURITIES (HONG KONG) LTD,498000,0.00%,99.75%
B01470,HUNG SING SECURITIES LTD,461146,0.00%,99.75%
B01445,VICTORY SECURITIES CO LTD,454054,0.00%,99.76%
B01900,ORIENT SECURITIES (HONG KONG) LTD,448000,0.00%,99.76%
B02102,ZINVEST GLOBAL LTD,440000,0.00%,99.77%
B01119,CELESTIAL SECURITIES LTD,432047,0.00%,99.77%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,410000,0.00%,99.78%
B01546,WO FUNG SECURITIES CO LTD,400804,0.00%,99.78%
B01343,CELETIO INVESTMENTS LTD,300273,0.00%,99.79%
B01320,LUEN FAT SECURITIES CO LTD,300159,0.00%,99.79%
B01696,HANTEC SECURITIES CO LTD,250021,0.00%,99.79%
B01585,SINO GRADE SECURITIES LTD,240735,0.00%,99.80%
B01373,CHRISTFUND SECURITIES LTD,200939,0.00%,99.80%
B01252,CORPORATE BROKERS LTD,200558,0.00%,99.80%
B01794,INTERCONTINENT SECURITIES CO LTD,200000,0.00%,99.80%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,197440,0.00%,99.81%
B01923,SHUANGYING SECURITIES LTD,194000,0.00%,99.81%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,170000,0.00%,99.81%
B01938,CHINA INDUSTRIAL SECURITIES,159612,0.00%,99.81%
B01169,PUBLIC FINANCIAL SECURITIES LTD,156453,0.00%,99.81%
B02214,WINBULL SECURITIES INTERNATIONAL (HONG,144000,0.00%,99.82%
B02186,MONT AVENIR CAPITAL LTD,120000,0.00%,99.82%
B01184,QUAM SECURITIES LTD,113648,0.00%,99.82%
B01848,CATHAY SECURITIES (HONG KONG) LTD,102000,0.00%,99.82%
B01407,WIN WONG SECURITIES LTD,100591,0.00%,99.82%
B01158,SOLID KING SECURITIES LTD,100117,0.00%,99.82%
B01901,CMB INTERNATIONAL SECURITIES LTD,100021,0.00%,99.82%
B01897,CENTRAL WEALTH SECURITIES INVESTMENT LTD,100000,0.00%,99.82%
B01939,SOOCHOW SECURITIES INTERNATIONAL,100000,0.00%,99.83%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,98817,0.00%,99.83%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),82000,0.00%,99.83%
B01981,BLUESTONE SECURITIES (HK) CO LTD,70000,0.00%,99.83%
B01123,HING WONG SECURITIES LTD,50609,0.00%,99.83%
B01907,CHINA DEMETER SECURITIES LTD,50000,0.00%,99.83%
B01328,BAN HIN SECURITIES CO LTD,41137,0.00%,99.83%
B01910,FTFT INTERNATIONAL SECURITIES AND,36000,0.00%,99.83%
B01450,DL BROKERAGE LTD,31392,0.00%,99.83%
B01551,YUE XIU SECURITIES CO LTD,28000,0.00%,99.83%
B01338,EMPEROR SECURITIES LTD,24848,0.00%,99.83%
B01324,FUNDERSTONE SECURITIES LTD,24150,0.00%,99.83%
B01915,METAVERSE SECURITIES LTD,22000,0.00%,99.83%
B01567,PRIME SECURITIES LTD,20045,0.00%,99.83%
B01661,BOSCO SECURITIES LTD,18648,0.00%,99.83%
B01588,LEI SHING HONG SECURITIES LTD,18093,0.00%,99.83%
B02019,GEO SECURITIES LTD,18000,0.00%,99.83%
B01267,WINFULL SECURITIES LTD,14403,0.00%,99.83%
B01875,GUODU SECURITIES (HONG KONG) LTD,14033,0.00%,99.83%
B01141,FE SECURITIES LTD,10425,0.00%,99.83%
B01290,SPS SECURITIES LTD,9120,0.00%,99.83%
B01665,WINSOME STOCK CO LTD,8400,0.00%,99.83%
B01967,YUNFENG SECURITIES LTD,8129,0.00%,99.83%
B01444,YUEXING SECURITIES COMPANY LTD,6546,0.00%,99.83%
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,6000,0.00%,99.83%
B01253,STOCKWELL SECURITIES LTD,3621,0.00%,99.83%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,3600,0.00%,99.83%
B01514,KARL-THOMSON SECURITIES CO LTD,3531,0.00%,99.83%
B01264,MIB SECURITIES (HONG KONG) LTD,3426,0.00%,99.83%
B01272,FB SECURITIES (HONG KONG) LTD,2841,0.00%,99.83%
B01340,LEHIN SECURITIES LTD,2630,0.00%,99.83%
B01685,ARK SECURITIES (HONG KONG) LTD,2000,0.00%,99.83%
B02073,SOLOMON JFZ (ASIA) HOLDINGS LTD,2000,0.00%,99.83%
C00016,DBS BANK LTD,2000,0.00%,99.83%
B01769,ONE CHINA SECURITIES LTD,1310,0.00%,99.83%
B01494,AUDREY CHOW SECURITIES LTD,1179,0.00%,99.83%
B02093,UPMAX SECURITIES LTD,1164,0.00%,99.83%
B01527,NITTAN SECURITIES ASIA LTD,1140,0.00%,99.83%
B01795,RAFFAELLO SECURITIES (HK) LTD,1104,0.00%,99.83%
B01724,RAMON INVESTMENT CO LTD,1047,0.00%,99.83%
B01716,ORIENT SECURITIES LTD,840,0.00%,99.83%
B01483,BULLISH SECURITIES LTD,732,0.00%,99.83%
B01787,SOO PUI CHEN SECURITIES LTD,636,0.00%,99.83%
,HONG KONG SECURITIES CLEARING CO. LTD.,594,0.00%,99.83%
B01401,MEGABASE SECURITIES LTD,543,0.00%,99.83%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,498,0.00%,99.84%
B01762,DBS VICKERS (HONG KONG) LTD,456,0.00%,99.84%
B01240,TSUN CHI YUEN SECURITIES CO LTD,413,0.00%,99.84%
B01649,CINDA INTERNATIONAL SECURITIES LTD,393,0.00%,99.84%
B01415,TARZAN STOCK & SHARES LTD,294,0.00%,99.84%
B01212,HENYEP SECURITIES LTD,291,0.00%,99.84%
B01447,BETA INTERNATIONAL SECURITIES LIMITED,279,0.00%,99.84%
B01173,RIFA SECURITIES LTD,276,0.00%,99.84%
B02078,AFFLUX SECURITIES LTD,246,0.00%,99.84%
B01765,PROMISING SECURITIES CO LTD,213,0.00%,99.84%
B01509,UNICORN SECURITIES CO LTD,186,0.00%,99.84%
B01277,BRADBURY SECURITIES LTD,156,0.00%,99.84%
B01271,HANG TAI SECURITIES LTD,135,0.00%,99.84%
B01788,SUNRISE SECURITIES LTD,126,0.00%,99.84%
B01346,CHINA PACIFIC SECURITIES LTD,123,0.00%,99.84%
B01427,TSE'S SECURITIES LTD,108,0.00%,99.84%
B01410,WINGS SECURITIES (HK) LTD,102,0.00%,99.84%
B01472,SUN GROWTH SECURITIES LTD,102,0.00%,99.84%
B01577,YF SECURITIES CO LTD,99,0.00%,99.84%
B01538,MORTON SECURITIES LTD,96,0.00%,99.84%
B01198,PO KAY SECURITIES & SHARES CO LTD,93,0.00%,99.84%
B01217,TAIPING SECURITIES (HK) CO LTD,93,0.00%,99.84%
B01455,NATIONAL RESOURCES SECURITIES LTD,75,0.00%,99.84%
B01425,WELLFULL SECURITIES CO LTD,69,0.00%,99.84%
B01462,MANGO FINANCIAL LTD,66,0.00%,99.84%
B01231,GIGAMONEY LTD,63,0.00%,99.84%
B01458,YICKO SECURITIES LTD,60,0.00%,99.84%
B01417,CHEE TAK SECURITIES LTD,57,0.00%,99.84%
B01809,CHINA SYSTEM SECURITIES LTD,57,0.00%,99.84%
B01437,WINWIN SECURITIES LTD,54,0.00%,99.84%
B01640,BEIJING SECURITIES LTD,48,0.00%,99.84%
B01519,GOOD HARVEST SECURITIES CO LTD,45,0.00%,99.84%
B01608,OPEN SECURITIES LTD,45,0.00%,99.84%
B01751,IMAGI BROKERAGE LTD,36,0.00%,99.84%
B01246,ROCTEC SECURITIES CO LTD,30,0.00%,99.84%
B01552,CARRIER STOCK INVESTMENT CO LTD,30,0.00%,99.84%
B01404,HONG KONG STOCK LINK SECURITIES LTD,27,0.00%,99.84%
B01535,WING YEE SECURITIES CO LTD,27,0.00%,99.84%
B01559,WISETRADE SECURITIES LTD,27,0.00%,99.84%
B01604,WANHAI SECURITIES (HK) LTD,27,0.00%,99.84%
B01669,FIRST SECURITIES (HK) LTD,27,0.00%,99.84%
B01633,ENLIGHTEN SECURITIES LTD,24,0.00%,99.84%
B01659,CHEER UNION SECURITIES LTD,24,0.00%,99.84%
C00074,DEUTSCHE BANK AG,24,0.00%,99.84%
B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,21,0.00%,99.84%
B01636,BUSINESS SECURITIES LTD,21,0.00%,99.84%
B01645,SELINA & CO LTD,21,0.00%,99.84%
B01660,"GRANSING SECURITIES CO., LIMITED",21,0.00%,99.84%
B01705,HENIK SECURITIES LTD,21,0.00%,99.84%
B01568,SHUN LOONG SECURITIES CO LTD,18,0.00%,99.84%
B01615,KAM FAI SECURITIES CO LTD,18,0.00%,99.84%
B01684,WANG ON SECURITIES LTD,18,0.00%,99.84%
B01308,M&F ASSET MANAGEMENT LTD,15,0.00%,99.84%
B01213,MONEYMORE SECURITIES LTD,12,0.00%,99.84%
B01540,UPBEST SECURITIES CO LTD,9,0.00%,99.84%
B01601,CSC SECURITIES (HK) LTD,9,0.00%,99.84%
B01702,BLACK MARBLE SECURITIES LTD,9,0.00%,99.84%
B01473,SUNNY WORLD INVESTMENT LTD,6,0.00%,99.84%
B01686,FIRST SHANGHAI SECURITIES LTD,6,0.00%,99.84%
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,6,0.00%,99.84%
B01129,WOCOM SECURITIES LTD,3,0.00%,99.84%
B01310,TUNG TAK SECURITIES (H.K.) CO LTD,3,0.00%,99.84%
B01326,KING SUN SECURITIES LTD,3,0.00%,99.84%
B01434,BEEVEST SECURITIES LTD,3,0.00%,99.84%
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,3,0.00%,99.84%
B01680,SUCCESS SECURITIES LTD,3,0.00%,99.84%
B01759,WINLAND WEALTH MANAGEMENT LTD,3,0.00%,99.84%
B01789,HO FUNG SHARES INVESTMENT LTD,3,0.00%,99.84%
