ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00037,SHANGHAI COMMERCIAL BANK LTD,106777608,35.44%,35.44%
C00026,CHONG HING BANK LTD,32585976,10.81%,46.26%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,29243391,9.70%,55.97%
C00019,THE HONGKONG AND SHANGHAI BANKING,23291304,7.73%,63.70%
C00074,DEUTSCHE BANK AG,13841255,4.59%,68.29%
C00018,HANG SENG BANK LTD,7056816,2.34%,70.63%
C00042,CMB WING LUNG BANK LTD,5103104,1.69%,72.33%
C00093,BNP PARIBAS,4589269,1.52%,73.85%
B01645,SELINA & CO LTD,4248000,1.41%,75.26%
C00010,CITIBANK N.A.,2640964,0.87%,76.14%
B02141,XIN YONGAN INTERNATIONAL SECURITIES,2500186,0.82%,76.97%
B01183,CHONG HING SECURITIES LTD,2455808,0.81%,77.78%
B01590,INTERACTIVE BROKERS HONG KONG LTD,1844218,0.61%,78.39%
C00033,BANK OF CHINA (HONG KONG) LTD,1597925,0.53%,78.92%
B01284,HANG SENG SECURITIES LTD,1542849,0.51%,79.44%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,1387420,0.46%,79.90%
C00016,DBS BANK LTD,950000,0.31%,80.21%
B01610,KGI ASIA LTD,850802,0.28%,80.50%
B01161,UBS SECURITIES HONG KONG LTD,805165,0.26%,80.76%
B01700,REALINK FINANCIAL TRADE LTD,662000,0.21%,80.98%
B01264,MIB SECURITIES (HONG KONG) LTD,494000,0.16%,81.15%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,390935,0.12%,81.28%
B01353,UOB KAY HIAN (HONG KONG) LTD,340440,0.11%,81.39%
C00015,DBS BANK (HONG KONG) LTD,338486,0.11%,81.50%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,323938,0.10%,81.61%
B01086,EVERBRIGHT SECURITIES INVESTMENT,300200,0.09%,81.71%
B01695,DAH SING SECURITIES LTD,285917,0.09%,81.80%
B01130,BOCI SECURITIES LTD,273557,0.09%,81.89%
C00003,THE BANK OF EAST ASIA LTD,264565,0.08%,81.98%
B01955,FUTU SECURITIES INTERNATIONAL,212140,0.07%,82.05%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,198313,0.06%,82.12%
