ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,114819997,15.31%,15.32%
C00010,CITIBANK N.A.,110849539,14.78%,30.10%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,56911186,7.59%,37.69%
B01161,UBS SECURITIES HONG KONG LTD,46480441,6.19%,43.89%
C00018,HANG SENG BANK LTD,32218565,4.29%,48.19%
B01284,HANG SENG SECURITIES LTD,20673336,2.75%,50.95%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,11538999,1.53%,52.49%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,8011359,1.06%,53.56%
B01590,INTERACTIVE BROKERS HONG KONG LTD,6659493,0.88%,54.44%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,5967163,0.79%,55.24%
C00093,BNP PARIBAS,4241097,0.56%,55.81%
C00033,BANK OF CHINA (HONG KONG) LTD,3809425,0.50%,56.31%
B01130,BOCI SECURITIES LTD,3176562,0.42%,56.74%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,2528000,0.33%,57.07%
B01955,FUTU SECURITIES INTERNATIONAL,2389182,0.31%,57.39%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,1576524,0.21%,57.60%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1454997,0.19%,57.80%
B01353,UOB KAY HIAN (HONG KONG) LTD,1432045,0.19%,57.99%
C00037,SHANGHAI COMMERCIAL BANK LTD,1212376,0.16%,58.15%
B01138,CLSA LTD,1164897,0.15%,58.31%
C00015,DBS BANK (HONG KONG) LTD,1117929,0.14%,58.45%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,1113558,0.14%,58.60%
C00042,CMB WING LUNG BANK LTD,1032864,0.13%,58.74%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,976000,0.13%,58.87%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,956421,0.12%,59.00%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,944003,0.12%,59.12%
C00048,CHIYU BANKING CORPORATION LTD,935543,0.12%,59.25%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,866945,0.11%,59.37%
B02032,FORTHRIGHT SECURITIES CO LTD,830000,0.11%,59.48%
C00016,DBS BANK LTD,797364,0.10%,59.58%
C00088,CHINA MERCHANTS BANK CO LTD,665000,0.08%,59.67%
C00026,CHONG HING BANK LTD,631965,0.08%,59.76%
B01538,MORTON SECURITIES LTD,601857,0.08%,59.84%
B01264,MIB SECURITIES (HONG KONG) LTD,566526,0.07%,59.91%
C00036,CHINA CONSTRUCTION BANK (ASIA),534361,0.07%,59.98%
B01695,DAH SING SECURITIES LTD,530932,0.07%,60.05%
B01588,LEI SHING HONG SECURITIES LTD,502735,0.06%,60.12%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,485996,0.06%,60.18%
C00028,NANYANG COMMERCIAL BANK LTD,480518,0.06%,60.25%
B01610,KGI ASIA LTD,466576,0.06%,60.31%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,456770,0.06%,60.37%
B01727,ICBC (ASIA) SECURITIES LTD,451318,0.06%,60.43%
B01086,EVERBRIGHT SECURITIES INVESTMENT,395462,0.05%,60.49%
B01686,FIRST SHANGHAI SECURITIES LTD,385000,0.05%,60.54%
C00003,THE BANK OF EAST ASIA LTD,296473,0.03%,60.58%
