ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,44099853,6.99%,6.99%
C00074,DEUTSCHE BANK AG,17120000,2.71%,9.71%
B01590,INTERACTIVE BROKERS HONG KONG LTD,12303000,1.95%,11.66%
C00033,BANK OF CHINA (HONG KONG) LTD,11986200,1.90%,13.56%
C00010,CITIBANK N.A.,9353270,1.48%,15.04%
B01284,HANG SENG SECURITIES LTD,8955800,1.42%,16.46%
B01130,BOCI SECURITIES LTD,5242000,0.83%,17.30%
B01762,DBS VICKERS (HONG KONG) LTD,4262000,0.67%,17.97%
B01955,FUTU SECURITIES INTERNATIONAL,4190300,0.66%,18.64%
B01086,EVERBRIGHT SECURITIES INVESTMENT,3998000,0.63%,19.27%
C00016,DBS BANK LTD,3242000,0.51%,19.78%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,2617400,0.41%,20.20%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,2358000,0.37%,20.57%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1966000,0.31%,20.89%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,1804000,0.28%,21.17%
B01695,DAH SING SECURITIES LTD,1788000,0.28%,21.45%
B01592,PLATINUM BROKING CO LTD,1628000,0.25%,21.71%
C00042,CMB WING LUNG BANK LTD,1456000,0.23%,21.94%
B01118,EAST ASIA SECURITIES CO LTD,1219800,0.19%,22.14%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,1214047,0.19%,22.33%
B01161,UBS SECURITIES HONG KONG LTD,1186234,0.18%,22.52%
B01584,CHIEF SECURITIES LTD,1180000,0.18%,22.71%
C00018,HANG SENG BANK LTD,1177840,0.18%,22.89%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,1058000,0.16%,23.06%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,1056000,0.16%,23.23%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,946000,0.15%,23.38%
C00093,BNP PARIBAS,875599,0.13%,23.52%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,856000,0.13%,23.65%
B01653,WAI MAN STOCK & SHARES CO LTD,812000,0.12%,23.78%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,764400,0.12%,23.90%
B01727,ICBC (ASIA) SECURITIES LTD,580000,0.09%,23.99%
B01183,CHONG HING SECURITIES LTD,532000,0.08%,24.08%
B01264,MIB SECURITIES (HONG KONG) LTD,506000,0.08%,24.16%
C00037,SHANGHAI COMMERCIAL BANK LTD,487200,0.07%,24.24%
B01853,CMBC SECURITIES CO LTD,484000,0.07%,24.31%
C00003,THE BANK OF EAST ASIA LTD,484000,0.07%,24.39%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,464000,0.07%,24.46%
B02132,BOOM SECURITIES (H.K.) LTD,446000,0.07%,24.53%
C00041,OCBC BANK (HONG KONG) LTD,412000,0.06%,24.60%
C00088,CHINA MERCHANTS BANK CO LTD,402000,0.06%,24.66%
B01459,IFAST SECURITIES (HK) LTD,376000,0.05%,24.72%
B01224,MERRILL LYNCH FAR EAST LTD,374500,0.05%,24.78%
C00015,DBS BANK (HONG KONG) LTD,368000,0.05%,24.84%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,366000,0.05%,24.90%
B01353,UOB KAY HIAN (HONG KONG) LTD,334000,0.05%,24.95%
C00028,NANYANG COMMERCIAL BANK LTD,296000,0.04%,25.00%
B02175,WEBULL SECURITIES LTD,272000,0.04%,25.04%
B01700,REALINK FINANCIAL TRADE LTD,270000,0.04%,25.08%
C00048,CHIYU BANKING CORPORATION LTD,248000,0.03%,25.12%
B01343,CELETIO INVESTMENTS LTD,236000,0.03%,25.16%
C00036,CHINA CONSTRUCTION BANK (ASIA),232000,0.03%,25.20%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),214000,0.03%,25.23%
B02116,MOUETTE SECURITIES CO LTD,200000,0.03%,25.26%
B01610,KGI ASIA LTD,184000,0.02%,25.29%
B01119,CELESTIAL SECURITIES LTD,160000,0.02%,25.32%
B01252,CORPORATE BROKERS LTD,154000,0.02%,25.34%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,149000,0.02%,25.37%
B01497,SINOPAC SECURITIES (ASIA) LTD,142000,0.02%,25.39%
B01885,HAFOO SECURITIES LTD,134000,0.02%,25.41%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,125000,0.01%,25.43%
B01673,FULBRIGHT SECURITIES LTD,106000,0.01%,25.45%
B01433,HING WAI ALLIED SECURITIES LTD,96000,0.01%,25.46%
B02159,USMART SECURITIES LTD,92000,0.01%,25.48%
B01198,PO KAY SECURITIES & SHARES CO LTD,70000,0.01%,25.49%
B01773,TOYO SECURITIES ASIA LTD,70000,0.01%,25.50%
B01787,SOO PUI CHEN SECURITIES LTD,70000,0.01%,25.51%
B01788,SUNRISE SECURITIES LTD,70000,0.01%,25.52%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,70000,0.01%,25.53%
,YU MAN TING *,68000,0.01%,25.54%
B01904,VALUABLE CAPITAL LTD,68000,0.01%,25.55%
B02142,TIGER BROKERS (HK) GLOBAL LTD,68000,0.01%,25.56%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,65000,0.01%,25.57%
B01373,CHRISTFUND SECURITIES LTD,60000,0.00%,25.58%
B01423,PRUDENTIAL BROKERAGE LTD,60000,0.00%,25.59%
