ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00033,BANK OF CHINA (HONG KONG) LTD,287935724,9.33%,9.33%
C00019,THE HONGKONG AND SHANGHAI BANKING,234968949,7.61%,16.95%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),127603000,4.13%,21.09%
C00010,CITIBANK N.A.,117659819,3.81%,24.90%
B01353,UOB KAY HIAN (HONG KONG) LTD,85420505,2.76%,27.67%
C00018,HANG SENG BANK LTD,70899813,2.29%,29.97%
B01955,FUTU SECURITIES INTERNATIONAL,70177533,2.27%,32.24%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,69755000,2.26%,34.50%
C00036,CHINA CONSTRUCTION BANK (ASIA),45491000,1.47%,35.98%
B01086,EVERBRIGHT SECURITIES INVESTMENT,44658291,1.44%,37.43%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,40278055,1.30%,38.73%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,35177520,1.14%,39.87%
B01161,UBS SECURITIES HONG KONG LTD,33168200,1.07%,40.95%
B01590,INTERACTIVE BROKERS HONG KONG LTD,30702880,0.99%,41.94%
B01130,BOCI SECURITIES LTD,30239396,0.98%,42.92%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,29111120,0.94%,43.87%
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD,28636000,0.92%,44.79%
B01727,ICBC (ASIA) SECURITIES LTD,25859000,0.83%,45.63%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,24038758,0.77%,46.41%
B01901,CMB INTERNATIONAL SECURITIES LTD,22976000,0.74%,47.16%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,21468898,0.69%,47.85%
C00093,BNP PARIBAS,19215609,0.62%,48.47%
B01885,HAFOO SECURITIES LTD,18906000,0.61%,49.09%
C00028,NANYANG COMMERCIAL BANK LTD,17686593,0.57%,49.66%
C00088,CHINA MERCHANTS BANK CO LTD,16868000,0.54%,50.21%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,16036480,0.51%,50.73%
B01584,CHIEF SECURITIES LTD,15531125,0.50%,51.23%
B01118,EAST ASIA SECURITIES CO LTD,14848439,0.48%,51.71%
C00042,CMB WING LUNG BANK LTD,14493168,0.46%,52.18%
B01284,HANG SENG SECURITIES LTD,13900912,0.45%,52.63%
B02142,TIGER BROKERS (HK) GLOBAL LTD,12650800,0.41%,53.04%
B01183,CHONG HING SECURITIES LTD,12356191,0.40%,53.44%
C00037,SHANGHAI COMMERCIAL BANK LTD,8851021,0.28%,53.73%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,8706019,0.28%,54.01%
B01610,KGI ASIA LTD,8633239,0.27%,54.29%
B01938,CHINA INDUSTRIAL SECURITIES,8392000,0.27%,54.56%
B01695,DAH SING SECURITIES LTD,8086786,0.26%,54.83%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,7545166,0.24%,55.07%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,7114073,0.23%,55.30%
B01497,SINOPAC SECURITIES (ASIA) LTD,6876636,0.22%,55.52%
B01904,VALUABLE CAPITAL LTD,6378881,0.20%,55.73%
C00041,OCBC BANK (HONG KONG) LTD,6377835,0.20%,55.94%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,6147034,0.19%,56.14%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,6123600,0.19%,56.34%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,6056000,0.19%,56.53%
C00016,DBS BANK LTD,6032000,0.19%,56.73%
C00048,CHIYU BANKING CORPORATION LTD,5972469,0.19%,56.92%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),5901600,0.19%,57.11%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,5511642,0.17%,57.29%
C00015,DBS BANK (HONG KONG) LTD,5376772,0.17%,57.46%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,4901440,0.15%,57.62%
B01680,SUCCESS SECURITIES LTD,4459600,0.14%,57.77%
B02195,LONG BRIDGE HK LTD,4430685,0.14%,57.91%
B02159,USMART SECURITIES LTD,4108000,0.13%,58.05%
B01875,GUODU SECURITIES (HONG KONG) LTD,3978000,0.12%,58.17%
B01209,MASON SECURITIES LTD,3921434,0.12%,58.30%
B01423,PRUDENTIAL BROKERAGE LTD,3499122,0.11%,58.41%
B01564,ABCI SECURITIES CO LTD,3277200,0.10%,58.52%
B01184,QUAM SECURITIES LTD,3265400,0.10%,58.63%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,2978772,0.09%,58.72%
B01788,SUNRISE SECURITIES LTD,2963947,0.09%,58.82%
C00003,THE BANK OF EAST ASIA LTD,2744233,0.08%,58.91%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,2623800,0.08%,58.99%
B01809,CHINA SYSTEM SECURITIES LTD,2600360,0.08%,59.08%
B01119,CELESTIAL SECURITIES LTD,2468504,0.08%,59.16%
B01338,EMPEROR SECURITIES LTD,2403000,0.07%,59.24%
B01224,MERRILL LYNCH FAR EAST LTD,2113675,0.06%,59.30%
C00026,CHONG HING BANK LTD,2000000,0.06%,59.37%
B01252,CORPORATE BROKERS LTD,1946520,0.06%,59.43%
B01275,SANFULL SECURITIES LTD,1841240,0.05%,59.49%
B01343,CELETIO INVESTMENTS LTD,1633158,0.05%,59.54%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,1618320,0.05%,59.60%
B01425,WELLFULL SECURITIES CO LTD,1533560,0.04%,59.65%
B01240,TSUN CHI YUEN SECURITIES CO LTD,1522871,0.04%,59.70%
B01813,CCB INTERNATIONAL SECURITIES LTD,1510000,0.04%,59.74%
B01673,FULBRIGHT SECURITIES LTD,1457817,0.04%,59.79%
B01433,HING WAI ALLIED SECURITIES LTD,1390358,0.04%,59.84%
B01696,HANTEC SECURITIES CO LTD,1317440,0.04%,59.88%
B01556,LUK FOOK SECURITIES (HK) LTD,1312543,0.04%,59.92%
B01511,TAT LEE SECURITIES CO LTD,1298022,0.04%,59.96%
B01900,ORIENT SECURITIES (HONG KONG) LTD,1225320,0.03%,60.00%
B01294,CS WEALTH SECURITIES LTD,1184240,0.03%,60.04%
B01445,VICTORY SECURITIES CO LTD,1141920,0.03%,60.08%
B01915,METAVERSE SECURITIES LTD,1138000,0.03%,60.12%
B01450,DL BROKERAGE LTD,1134688,0.03%,60.15%
B01298,GET NICE SECURITIES LTD,1067200,0.03%,60.19%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,1032600,0.03%,60.22%
B02177,ZHESHANG INTERNATIONAL FINANCIAL,1022000,0.03%,60.25%
B01686,FIRST SHANGHAI SECURITIES LTD,1010720,0.03%,60.29%
B01289,SOUTH CHINA SECURITIES LTD,954565,0.03%,60.32%
B01661,BOSCO SECURITIES LTD,935760,0.03%,60.35%
B01759,WINLAND WEALTH MANAGEMENT LTD,931000,0.03%,60.38%
B01666,GLORY SUN SECURITIES LTD,926968,0.03%,60.41%
B01439,TAI TAK SECURITIES (ASIA) LTD,874224,0.02%,60.44%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,867723,0.02%,60.47%
B01567,PRIME SECURITIES LTD,826400,0.02%,60.49%
B01373,CHRISTFUND SECURITIES LTD,810880,0.02%,60.52%
B01198,PO KAY SECURITIES & SHARES CO LTD,792720,0.02%,60.54%
B01129,WOCOM SECURITIES LTD,752600,0.02%,60.57%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,744400,0.02%,60.59%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,700000,0.02%,60.62%
B01264,MIB SECURITIES (HONG KONG) LTD,647760,0.02%,60.64%
B01173,RIFA SECURITIES LTD,564400,0.01%,60.65%
B01653,WAI MAN STOCK & SHARES CO LTD,564000,0.01%,60.67%
B01710,SINO-RICH SECURITIES & FUTURES LTD,560000,0.01%,60.69%
B01356,DELTA ASIA SECURITIES LTD,554200,0.01%,60.71%
B01514,KARL-THOMSON SECURITIES CO LTD,546752,0.01%,60.73%
B01905,SDIC SECURITIES (HONG KONG) LTD,527121,0.01%,60.74%
B02093,UPMAX SECURITIES LTD,521822,0.01%,60.76%
B01123,HING WONG SECURITIES LTD,512720,0.01%,60.78%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,499800,0.01%,60.79%
B01585,SINO GRADE SECURITIES LTD,493440,0.01%,60.81%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,465975,0.01%,60.82%
B01866,ICBC INTERNATIONAL SECURITIES LTD,460000,0.01%,60.84%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,453280,0.01%,60.85%
B01438,KINGSTON SECURITIES LTD,447720,0.01%,60.87%
B02176,PING AN SECURITIES (HONG KONG) CO LTD,438720,0.01%,60.88%
B01169,PUBLIC FINANCIAL SECURITIES LTD,425760,0.01%,60.90%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,420000,0.01%,60.91%
B02214,WINBULL SECURITIES INTERNATIONAL (HONG,420000,0.01%,60.92%
B01427,TSE'S SECURITIES LTD,409600,0.01%,60.94%
B02028,SORRENTO SECURITIES LTD,400000,0.01%,60.95%
B02047,EDDID SECURITIES AND FUTURES LTD,388000,0.01%,60.96%
B01700,REALINK FINANCIAL TRADE LTD,374200,0.01%,60.97%
B01773,TOYO SECURITIES ASIA LTD,365000,0.01%,60.99%
C00074,DEUTSCHE BANK AG,364360,0.01%,61.00%
B01939,SOOCHOW SECURITIES INTERNATIONAL,359000,0.01%,61.01%
B01540,UPBEST SECURITIES CO LTD,357600,0.01%,61.02%
B01762,DBS VICKERS (HONG KONG) LTD,356360,0.01%,61.03%
B01947,FUBON SECURITIES (HONG KONG) LTD,349068,0.01%,61.04%
B01310,TUNG TAK SECURITIES (H.K.) CO LTD,339760,0.01%,61.06%
B01267,WINFULL SECURITIES LTD,337600,0.01%,61.07%
B01551,YUE XIU SECURITIES CO LTD,337600,0.01%,61.08%
B01705,HENIK SECURITIES LTD,330000,0.01%,61.09%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,328800,0.01%,61.10%
B01814,WELL LINK SECURITIES LTD,326000,0.01%,61.11%
B01552,CARRIER STOCK INVESTMENT CO LTD,324000,0.01%,61.12%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,322800,0.01%,61.13%
B01340,LEHIN SECURITIES LTD,319657,0.01%,61.14%
B01649,CINDA INTERNATIONAL SECURITIES LTD,318625,0.01%,61.15%
B01588,LEI SHING HONG SECURITIES LTD,318320,0.01%,61.16%
B01937,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,285000,0.00%,61.17%
B01685,ARK SECURITIES (HONG KONG) LTD,278400,0.00%,61.18%
B02175,WEBULL SECURITIES LTD,272000,0.00%,61.19%
B01546,WO FUNG SECURITIES CO LTD,259600,0.00%,61.20%
B02032,FORTHRIGHT SECURITIES CO LTD,252000,0.00%,61.21%
B01271,HANG TAI SECURITIES LTD,251856,0.00%,61.21%
B01627,SDHG INTERNATIONAL SECURITIES LTD,250000,0.00%,61.22%
B01963,TFI SECURITIES AND FUTURES LTD,246000,0.00%,61.23%
B01459,IFAST SECURITIES (HK) LTD,238000,0.00%,61.24%
B01455,NATIONAL RESOURCES SECURITIES LTD,228729,0.00%,61.24%
B01389,ZHONGRONG PT SECURITIES LTD,228097,0.00%,61.25%
B01494,AUDREY CHOW SECURITIES LTD,222800,0.00%,61.26%
B01458,YICKO SECURITIES LTD,221520,0.00%,61.27%
B01789,HO FUNG SHARES INVESTMENT LTD,218200,0.00%,61.27%
B01962,CHINA SECURITIES (INTERNATIONAL),216000,0.00%,61.28%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,207000,0.00%,61.29%
B02132,BOOM SECURITIES (H.K.) LTD,206200,0.00%,61.29%
B01694,MINERVA HOLDING FINANCIAL SECURITIES LTD,199800,0.00%,61.30%
B01577,YF SECURITIES CO LTD,195200,0.00%,61.31%
B01324,FUNDERSTONE SECURITIES LTD,182840,0.00%,61.31%
B01213,MONEYMORE SECURITIES LTD,182022,0.00%,61.32%
B01328,BAN HIN SECURITIES CO LTD,176971,0.00%,61.32%
B01416,VC BROKERAGE LTD,176545,0.00%,61.33%
B01470,HUNG SING SECURITIES LTD,175400,0.00%,61.34%
B02163,GOLDEN EAGLE BROKERAGE LTD,174400,0.00%,61.34%
B01407,WIN WONG SECURITIES LTD,170000,0.00%,61.35%
B01615,KAM FAI SECURITIES CO LTD,160000,0.00%,61.35%
B01741,SINOMAX SECURITIES LTD,160000,0.00%,61.36%
B01676,TAI SHING STOCK INVESTMENT CO LTD,149000,0.00%,61.36%
B01967,YUNFENG SECURITIES LTD,147600,0.00%,61.37%
B01509,UNICORN SECURITIES CO LTD,142000,0.00%,61.37%
B01660,"GRANSING SECURITIES CO., LIMITED",136080,0.00%,61.38%
B01272,FB SECURITIES (HONG KONG) LTD,133597,0.00%,61.38%
B01444,YUEXING SECURITIES COMPANY LTD,131683,0.00%,61.38%
B01141,FE SECURITIES LTD,131200,0.00%,61.39%
B01853,CMBC SECURITIES CO LTD,130000,0.00%,61.39%
B01525,KEE CHEONG SECURITIES CO LTD,129000,0.00%,61.40%
B01756,CHINA SKY SECURITIES LTD,121600,0.00%,61.40%
