ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01438,KINGSTON SECURITIES LTD,1235622623,56.72%,56.72%
C00010,CITIBANK N.A.,124832738,5.73%,62.45%
B01955,FUTU SECURITIES INTERNATIONAL,95442698,4.38%,66.84%
C00019,THE HONGKONG AND SHANGHAI BANKING,76771719,3.52%,70.36%
C00033,BANK OF CHINA (HONG KONG) LTD,69859198,3.20%,73.57%
B02037,KAI YIN SECURITIES LTD,48495000,2.22%,75.79%
B01660,"GRANSING SECURITIES CO., LIMITED",45214708,2.07%,77.87%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,40610184,1.86%,79.73%
C00042,CMB WING LUNG BANK LTD,23795281,1.09%,80.83%
B02142,TIGER BROKERS (HK) GLOBAL LTD,23635000,1.08%,81.91%
B01584,CHIEF SECURITIES LTD,20870053,0.95%,82.87%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,20737194,0.95%,83.82%
B01938,CHINA INDUSTRIAL SECURITIES,17547500,0.80%,84.63%
B01130,BOCI SECURITIES LTD,16956056,0.77%,85.40%
B01284,HANG SENG SECURITIES LTD,15049845,0.69%,86.10%
C00036,CHINA CONSTRUCTION BANK (ASIA),14931435,0.68%,86.78%
B01901,CMB INTERNATIONAL SECURITIES LTD,14850000,0.68%,87.46%
B01590,INTERACTIVE BROKERS HONG KONG LTD,14326467,0.65%,88.12%
B01949,GRAND CHINA SECURITIES LTD,14160000,0.65%,88.77%
B02195,LONG BRIDGE HK LTD,13593386,0.62%,89.39%
B01289,SOUTH CHINA SECURITIES LTD,12037500,0.55%,89.95%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,11790000,0.54%,90.49%
C00088,CHINA MERCHANTS BANK CO LTD,9215000,0.42%,90.91%
B01694,MINERVA HOLDING FINANCIAL SECURITIES LTD,9122500,0.41%,91.33%
B01610,KGI ASIA LTD,8991936,0.41%,91.74%
B02159,USMART SECURITIES LTD,8770000,0.40%,92.15%
B01086,EVERBRIGHT SECURITIES INVESTMENT,8332500,0.38%,92.53%
C00015,DBS BANK (HONG KONG) LTD,7982627,0.36%,92.89%
B01727,ICBC (ASIA) SECURITIES LTD,7110000,0.32%,93.22%
B01181,FOSUN INTERNATIONAL SECURITIES LTD,6575000,0.30%,93.52%
B01264,MIB SECURITIES (HONG KONG) LTD,6507548,0.29%,93.82%
B02138,TIGER FAITH SECURITIES LTD,5820500,0.26%,94.09%
B01401,MEGABASE SECURITIES LTD,5800000,0.26%,94.35%
B01741,SINOMAX SECURITIES LTD,5460000,0.25%,94.61%
B01252,CORPORATE BROKERS LTD,5449795,0.25%,94.86%
