ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,3285474938,17.60%,17.61%
C00018,HANG SENG BANK LTD,1019046035,5.46%,23.07%
C00033,BANK OF CHINA (HONG KONG) LTD,950829099,5.09%,28.16%
C00010,CITIBANK N.A.,930037139,4.98%,33.15%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,396436972,2.12%,35.27%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,281722941,1.50%,36.78%
B01284,HANG SENG SECURITIES LTD,235910721,1.26%,38.05%
B01161,UBS SECURITIES HONG KONG LTD,167957821,0.90%,38.95%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,155843308,0.83%,39.78%
C00003,THE BANK OF EAST ASIA LTD,150337117,0.80%,40.59%
C00042,CMB WING LUNG BANK LTD,130589811,0.69%,41.29%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,127319758,0.68%,41.97%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,114698810,0.61%,42.58%
C00037,SHANGHAI COMMERCIAL BANK LTD,104710208,0.56%,43.15%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,104492800,0.55%,43.71%
C00093,BNP PARIBAS,95207708,0.51%,44.22%
C00028,NANYANG COMMERCIAL BANK LTD,89521229,0.47%,44.70%
C00041,OCBC BANK (HONG KONG) LTD,84313187,0.45%,45.15%
B01552,CARRIER STOCK INVESTMENT CO LTD,80197601,0.42%,45.58%
B01955,FUTU SECURITIES INTERNATIONAL,70446972,0.37%,45.95%
B01695,DAH SING SECURITIES LTD,63249475,0.33%,46.29%
B01183,CHONG HING SECURITIES LTD,62535157,0.33%,46.63%
B01118,EAST ASIA SECURITIES CO LTD,60559150,0.32%,46.95%
C00015,DBS BANK (HONG KONG) LTD,58628665,0.31%,47.27%
C00074,DEUTSCHE BANK AG,55356463,0.29%,47.56%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,51950497,0.27%,47.84%
B01727,ICBC (ASIA) SECURITIES LTD,50636409,0.27%,48.11%
B01130,BOCI SECURITIES LTD,50013292,0.26%,48.38%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,49167913,0.26%,48.65%
C00048,CHIYU BANKING CORPORATION LTD,41964584,0.22%,48.87%
C00036,CHINA CONSTRUCTION BANK (ASIA),41862716,0.22%,49.09%
B01423,PRUDENTIAL BROKERAGE LTD,36231109,0.19%,49.29%
B01138,CLSA LTD,31208998,0.16%,49.46%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,30490211,0.16%,49.62%
B01353,UOB KAY HIAN (HONG KONG) LTD,26847120,0.14%,49.76%
B01086,EVERBRIGHT SECURITIES INVESTMENT,26333081,0.14%,49.90%
B01576,SIU ON SECURITIES LTD,25885175,0.13%,50.04%
B01584,CHIEF SECURITIES LTD,20163488,0.10%,50.15%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,17659852,0.09%,50.25%
B01590,INTERACTIVE BROKERS HONG KONG LTD,17327051,0.09%,50.34%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,16038433,0.08%,50.42%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,15843898,0.08%,50.51%
B01373,CHRISTFUND SECURITIES LTD,14760152,0.07%,50.59%
B01610,KGI ASIA LTD,13217771,0.07%,50.66%
B01224,MERRILL LYNCH FAR EAST LTD,12133529,0.06%,50.72%
B01497,SINOPAC SECURITIES (ASIA) LTD,11287878,0.06%,50.79%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,10231279,0.05%,50.84%
C00016,DBS BANK LTD,7790945,0.04%,50.88%
C00088,CHINA MERCHANTS BANK CO LTD,7483320,0.04%,50.92%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,7056811,0.03%,50.96%
B01673,FULBRIGHT SECURITIES LTD,6821734,0.03%,51.00%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,6274749,0.03%,51.03%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,5829325,0.03%,51.06%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,5770451,0.03%,51.09%
B01169,PUBLIC FINANCIAL SECURITIES LTD,5725676,0.03%,51.12%
B01275,SANFULL SECURITIES LTD,5257236,0.02%,51.15%
B01901,CMB INTERNATIONAL SECURITIES LTD,4641092,0.02%,51.18%
B01556,LUK FOOK SECURITIES (HK) LTD,4298890,0.02%,51.20%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,4297713,0.02%,51.22%
B01686,FIRST SHANGHAI SECURITIES LTD,4186760,0.02%,51.24%
