ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,3312837004,17.75%,17.75%
C00018,HANG SENG BANK LTD,1019240294,5.46%,23.22%
C00033,BANK OF CHINA (HONG KONG) LTD,957008835,5.12%,28.34%
C00010,CITIBANK N.A.,873943893,4.68%,33.03%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,380276972,2.03%,35.07%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,291720825,1.56%,36.63%
B01284,HANG SENG SECURITIES LTD,239242216,1.28%,37.91%
B01161,UBS SECURITIES HONG KONG LTD,173530229,0.92%,38.84%
C00003,THE BANK OF EAST ASIA LTD,150532117,0.80%,39.65%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,149647308,0.80%,40.45%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,144259035,0.77%,41.22%
C00042,CMB WING LUNG BANK LTD,130968159,0.70%,41.93%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,115355146,0.61%,42.54%
C00037,SHANGHAI COMMERCIAL BANK LTD,105057722,0.56%,43.11%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,104824800,0.56%,43.67%
C00093,BNP PARIBAS,95933153,0.51%,44.18%
C00041,OCBC BANK (HONG KONG) LTD,94303527,0.50%,44.69%
C00028,NANYANG COMMERCIAL BANK LTD,90013015,0.48%,45.17%
B01552,CARRIER STOCK INVESTMENT CO LTD,80197601,0.42%,45.60%
B01955,FUTU SECURITIES INTERNATIONAL,71500114,0.38%,45.98%
B01695,DAH SING SECURITIES LTD,64144723,0.34%,46.33%
B01183,CHONG HING SECURITIES LTD,62717159,0.33%,46.66%
B01118,EAST ASIA SECURITIES CO LTD,60912800,0.32%,46.99%
C00015,DBS BANK (HONG KONG) LTD,58955552,0.31%,47.31%
C00074,DEUTSCHE BANK AG,55361008,0.29%,47.60%
B01727,ICBC (ASIA) SECURITIES LTD,50675737,0.27%,47.87%
B01130,BOCI SECURITIES LTD,49867795,0.26%,48.14%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,49685281,0.26%,48.41%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,43715804,0.23%,48.64%
C00036,CHINA CONSTRUCTION BANK (ASIA),41832086,0.22%,48.87%
C00048,CHIYU BANKING CORPORATION LTD,41555717,0.22%,49.09%
B01423,PRUDENTIAL BROKERAGE LTD,36218109,0.19%,49.28%
B01138,CLSA LTD,31208998,0.16%,49.45%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,30490211,0.16%,49.61%
B01353,UOB KAY HIAN (HONG KONG) LTD,27466110,0.14%,49.76%
B01086,EVERBRIGHT SECURITIES INVESTMENT,26443150,0.14%,49.90%
B01576,SIU ON SECURITIES LTD,25885175,0.13%,50.04%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,20425488,0.10%,50.15%
B01584,CHIEF SECURITIES LTD,20021775,0.10%,50.26%
B01590,INTERACTIVE BROKERS HONG KONG LTD,16663919,0.08%,50.35%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,15914990,0.08%,50.43%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,15731903,0.08%,50.52%
B01373,CHRISTFUND SECURITIES LTD,14760152,0.07%,50.60%
B01610,KGI ASIA LTD,12998849,0.06%,50.67%
B01224,MERRILL LYNCH FAR EAST LTD,12680121,0.06%,50.73%
B01497,SINOPAC SECURITIES (ASIA) LTD,11353878,0.06%,50.79%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,10410279,0.05%,50.85%
C00016,DBS BANK LTD,7789945,0.04%,50.89%
C00088,CHINA MERCHANTS BANK CO LTD,7637320,0.04%,50.93%
B01673,FULBRIGHT SECURITIES LTD,7161734,0.03%,50.97%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,6957606,0.03%,51.01%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,6374643,0.03%,51.04%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,6029325,0.03%,51.07%
B01169,PUBLIC FINANCIAL SECURITIES LTD,5829676,0.03%,51.11%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,5820451,0.03%,51.14%
B01275,SANFULL SECURITIES LTD,5302236,0.02%,51.17%
B01901,CMB INTERNATIONAL SECURITIES LTD,4657092,0.02%,51.19%
B01556,LUK FOOK SECURITIES (HK) LTD,4300330,0.02%,51.21%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,4299713,0.02%,51.24%
B01686,FIRST SHANGHAI SECURITIES LTD,4186760,0.02%,51.26%
B01787,SOO PUI CHEN SECURITIES LTD,3926471,0.02%,51.28%
B01298,GET NICE SECURITIES LTD,3847039,0.02%,51.30%
B01209,MASON SECURITIES LTD,3385303,0.01%,51.32%
B01356,DELTA ASIA SECURITIES LTD,3331981,0.01%,51.34%
B01338,EMPEROR SECURITIES LTD,3275971,0.01%,51.35%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,3221582,0.01%,51.37%
B01123,HING WONG SECURITIES LTD,3121060,0.01%,51.39%
B01264,MIB SECURITIES (HONG KONG) LTD,3114964,0.01%,51.40%
B01425,WELLFULL SECURITIES CO LTD,2964697,0.01%,51.42%
B01252,CORPORATE BROKERS LTD,2763154,0.01%,51.44%
B01947,FUBON SECURITIES (HONG KONG) LTD,2758157,0.01%,51.45%
C00111,SOCIETE GENERALE,2735743,0.01%,51.46%
B01271,HANG TAI SECURITIES LTD,2671312,0.01%,51.48%
B01564,ABCI SECURITIES CO LTD,2622919,0.01%,51.49%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,2619297,0.01%,51.51%
B01246,ROCTEC SECURITIES CO LTD,2600216,0.01%,51.52%
B01450,DL BROKERAGE LTD,2592035,0.01%,51.54%
B01119,CELESTIAL SECURITIES LTD,2532114,0.01%,51.55%
B01289,SOUTH CHINA SECURITIES LTD,2458610,0.01%,51.56%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,2295950,0.01%,51.57%
B01350,S. W. WOO & CO LTD,2148354,0.01%,51.59%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,2035416,0.01%,51.60%
