ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,609070623,24.10%,24.11%
C00010,CITIBANK N.A.,121940580,4.82%,28.93%
C00033,BANK OF CHINA (HONG KONG) LTD,98061804,3.88%,32.82%
C00018,HANG SENG BANK LTD,84522752,3.34%,36.16%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,50654703,2.00%,38.17%
B01138,CLSA LTD,43677766,1.72%,39.90%
B01284,HANG SENG SECURITIES LTD,39894439,1.57%,41.47%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,32943686,1.30%,42.78%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,30742638,1.21%,43.99%
C00042,CMB WING LUNG BANK LTD,22625986,0.89%,44.89%
C00003,THE BANK OF EAST ASIA LTD,20990936,0.83%,45.72%
B01161,UBS SECURITIES HONG KONG LTD,20805524,0.82%,46.54%
B01130,BOCI SECURITIES LTD,19524209,0.77%,47.32%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,17336992,0.68%,48.00%
C00037,SHANGHAI COMMERCIAL BANK LTD,17071255,0.67%,48.68%
C00015,DBS BANK (HONG KONG) LTD,15899094,0.62%,49.31%
B01552,CARRIER STOCK INVESTMENT CO LTD,10381396,0.41%,49.72%
C00093,BNP PARIBAS,9792067,0.38%,50.11%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,9538232,0.37%,50.48%
C00028,NANYANG COMMERCIAL BANK LTD,8657904,0.34%,50.83%
C00041,OCBC BANK (HONG KONG) LTD,8544632,0.33%,51.17%
C00036,CHINA CONSTRUCTION BANK (ASIA),8004311,0.31%,51.48%
B01118,EAST ASIA SECURITIES CO LTD,7731174,0.30%,51.79%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,7698306,0.30%,52.09%
B01955,FUTU SECURITIES INTERNATIONAL,7194703,0.28%,52.38%
B01695,DAH SING SECURITIES LTD,6353583,0.25%,52.63%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,6286308,0.24%,52.88%
B01727,ICBC (ASIA) SECURITIES LTD,5843860,0.23%,53.11%
B01183,CHONG HING SECURITIES LTD,5762831,0.22%,53.34%
