ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,607200507,24.03%,24.03%
C00010,CITIBANK N.A.,123490814,4.88%,28.92%
C00033,BANK OF CHINA (HONG KONG) LTD,98032847,3.88%,32.80%
C00018,HANG SENG BANK LTD,84588399,3.34%,36.15%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,50682909,2.00%,38.16%
B01138,CLSA LTD,43680575,1.72%,39.89%
B01284,HANG SENG SECURITIES LTD,39688074,1.57%,41.46%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,34378686,1.36%,42.82%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,31208638,1.23%,44.05%
C00042,CMB WING LUNG BANK LTD,22690403,0.89%,44.95%
B01161,UBS SECURITIES HONG KONG LTD,21021705,0.83%,45.78%
C00003,THE BANK OF EAST ASIA LTD,20981436,0.83%,46.61%
B01130,BOCI SECURITIES LTD,19480951,0.77%,47.38%
C00037,SHANGHAI COMMERCIAL BANK LTD,17019751,0.67%,48.06%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,16840992,0.66%,48.72%
C00015,DBS BANK (HONG KONG) LTD,15836594,0.62%,49.35%
B01552,CARRIER STOCK INVESTMENT CO LTD,10389396,0.41%,49.76%
C00093,BNP PARIBAS,9554723,0.37%,50.14%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,9503232,0.37%,50.52%
C00041,OCBC BANK (HONG KONG) LTD,9148132,0.36%,50.88%
C00028,NANYANG COMMERCIAL BANK LTD,8659367,0.34%,51.22%
C00036,CHINA CONSTRUCTION BANK (ASIA),7965311,0.31%,51.54%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,7772306,0.30%,51.84%
B01118,EAST ASIA SECURITIES CO LTD,7729174,0.30%,52.15%
B01955,FUTU SECURITIES INTERNATIONAL,7029021,0.27%,52.43%
B01695,DAH SING SECURITIES LTD,6314561,0.24%,52.68%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,6251308,0.24%,52.93%
B01727,ICBC (ASIA) SECURITIES LTD,5792360,0.22%,53.15%
B01183,CHONG HING SECURITIES LTD,5717831,0.22%,53.38%
B01353,UOB KAY HIAN (HONG KONG) LTD,4887636,0.19%,53.57%
,SIU TIT LUNG *,4339000,0.17%,53.75%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,4259735,0.16%,53.92%
C00048,CHIYU BANKING CORPORATION LTD,4243628,0.16%,54.08%
B01576,SIU ON SECURITIES LTD,4086318,0.16%,54.24%
B01590,INTERACTIVE BROKERS HONG KONG LTD,3672423,0.14%,54.39%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,3613547,0.14%,54.53%
B01086,EVERBRIGHT SECURITIES INVESTMENT,2698894,0.10%,54.64%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,2602307,0.10%,54.74%
,SIU YUK LUNG *,2009500,0.07%,54.82%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,1930126,0.07%,54.90%
B01584,CHIEF SECURITIES LTD,1710530,0.06%,54.97%
C00111,SOCIETE GENERALE,1632326,0.06%,55.03%
C00074,DEUTSCHE BANK AG,1521852,0.06%,55.09%
B01610,KGI ASIA LTD,1480139,0.05%,55.15%
B01373,CHRISTFUND SECURITIES LTD,1292940,0.05%,55.20%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,1166060,0.04%,55.25%
C00016,DBS BANK LTD,1081317,0.04%,55.29%
B01787,SOO PUI CHEN SECURITIES LTD,989561,0.03%,55.33%
B01119,CELESTIAL SECURITIES LTD,943682,0.03%,55.37%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,807316,0.03%,55.40%
B01169,PUBLIC FINANCIAL SECURITIES LTD,759042,0.03%,55.43%
B01224,MERRILL LYNCH FAR EAST LTD,752875,0.02%,55.46%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,742508,0.02%,55.49%
,POON MIU FONG *,723500,0.02%,55.52%
C00026,CHONG HING BANK LTD,663400,0.02%,55.54%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,657000,0.02%,55.57%
B01423,PRUDENTIAL BROKERAGE LTD,651746,0.02%,55.59%
B01129,WOCOM SECURITIES LTD,646332,0.02%,55.62%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,625742,0.02%,55.64%
C00112,BANK OF COMMUNICATIONS (HONG KONG) LTD,613500,0.02%,55.67%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,584987,0.02%,55.69%
B01930,PRIME COURAGE SECURITIES CO LTD,547500,0.02%,55.71%
B01497,SINOPAC SECURITIES (ASIA) LTD,540643,0.02%,55.74%
,CHARMFAIR INVESTMENTS LIMITED *,520000,0.02%,55.76%
B01574,WADER SECURITIES CO LTD,515520,0.02%,55.78%
B01904,VALUABLE CAPITAL LTD,483922,0.01%,55.80%
B01676,TAI SHING STOCK INVESTMENT CO LTD,481886,0.01%,55.81%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,480487,0.01%,55.83%
B01556,LUK FOOK SECURITIES (HK) LTD,478440,0.01%,55.85%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,471776,0.01%,55.87%
B01275,SANFULL SECURITIES LTD,465566,0.01%,55.89%
B01459,IFAST SECURITIES (HK) LTD,453082,0.01%,55.91%
C00095,EFG BANK AG,432910,0.01%,55.92%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,431658,0.01%,55.94%
B01649,CINDA INTERNATIONAL SECURITIES LTD,423428,0.01%,55.96%
B01264,MIB SECURITIES (HONG KONG) LTD,393123,0.01%,55.97%
B01947,FUBON SECURITIES (HONG KONG) LTD,381028,0.01%,55.99%
B01450,DL BROKERAGE LTD,361286,0.01%,56.00%
B01272,FB SECURITIES (HONG KONG) LTD,359861,0.01%,56.02%
B01673,FULBRIGHT SECURITIES LTD,350223,0.01%,56.03%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,348191,0.01%,56.05%
B01425,WELLFULL SECURITIES CO LTD,341316,0.01%,56.06%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,308990,0.01%,56.07%
B01759,WINLAND WEALTH MANAGEMENT LTD,281949,0.01%,56.08%
B01483,BULLISH SECURITIES LTD,277633,0.01%,56.09%
B01123,HING WONG SECURITIES LTD,275621,0.01%,56.10%
B01350,S. W. WOO & CO LTD,271843,0.01%,56.11%
B02132,BOOM SECURITIES (H.K.) LTD,259518,0.01%,56.13%
B01939,SOOCHOW SECURITIES INTERNATIONAL,243500,0.00%,56.13%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,239800,0.00%,56.14%
B01271,HANG TAI SECURITIES LTD,235190,0.00%,56.15%
B01298,GET NICE SECURITIES LTD,235000,0.00%,56.16%
B01184,QUAM SECURITIES LTD,232520,0.00%,56.17%
B01338,EMPEROR SECURITIES LTD,232454,0.00%,56.18%
B01724,RAMON INVESTMENT CO LTD,223808,0.00%,56.19%
B01289,SOUTH CHINA SECURITIES LTD,222675,0.00%,56.20%
B01555,ABN AMRO CLEARING HONG KONG LTD,213258,0.00%,56.21%
B01940,SOFI SECURITIES (HONG KONG) LTD,202986,0.00%,56.22%
B01564,ABCI SECURITIES CO LTD,201280,0.00%,56.22%
B01267,WINFULL SECURITIES LTD,192090,0.00%,56.23%
B01941,CENTALINE SECURITIES LTD,191000,0.00%,56.24%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),183075,0.00%,56.25%
B01209,MASON SECURITIES LTD,176852,0.00%,56.25%
B01356,DELTA ASIA SECURITIES LTD,176840,0.00%,56.26%
B01813,CCB INTERNATIONAL SECURITIES LTD,175191,0.00%,56.27%
B01546,WO FUNG SECURITIES CO LTD,168800,0.00%,56.27%
B01324,FUNDERSTONE SECURITIES LTD,167600,0.00%,56.28%
B01897,CENTRAL WEALTH SECURITIES INVESTMENT LTD,166100,0.00%,56.29%
B01198,PO KAY SECURITIES & SHARES CO LTD,165479,0.00%,56.29%
B01230,GAOYU SECURITIES LIMITED,164500,0.00%,56.30%
B01494,AUDREY CHOW SECURITIES LTD,163148,0.00%,56.31%
B01964,HALCYON SECURITIES LTD,158500,0.00%,56.31%
B02142,TIGER BROKERS (HK) GLOBAL LTD,154500,0.00%,56.32%
B01551,YUE XIU SECURITIES CO LTD,150100,0.00%,56.32%
B01588,LEI SHING HONG SECURITIES LTD,147786,0.00%,56.33%
B01540,UPBEST SECURITIES CO LTD,147016,0.00%,56.34%
B01905,SDIC SECURITIES (HONG KONG) LTD,143200,0.00%,56.34%
B01439,TAI TAK SECURITIES (ASIA) LTD,140079,0.00%,56.35%
B02175,WEBULL SECURITIES LTD,138655,0.00%,56.35%
B01252,CORPORATE BROKERS LTD,138599,0.00%,56.36%
B01900,ORIENT SECURITIES (HONG KONG) LTD,138240,0.00%,56.36%
B01433,HING WAI ALLIED SECURITIES LTD,136520,0.00%,56.37%
B01173,RIFA SECURITIES LTD,135154,0.00%,56.37%
B01567,PRIME SECURITIES LTD,127462,0.00%,56.38%
B01525,KEE CHEONG SECURITIES CO LTD,122000,0.00%,56.38%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,120014,0.00%,56.39%
B01788,SUNRISE SECURITIES LTD,118700,0.00%,56.39%
B01481,NEW REGION SECURITIES CO LTD,118000,0.00%,56.40%
