ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01997,SUNCORP SECURITIES LTD,109038040,24.90%,24.91%
B01660,"GRANSING SECURITIES CO., LIMITED",108505000,24.78%,49.69%
B01810,ASTRUM CAPITAL MANAGEMENT LTD,80320026,18.34%,68.04%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,22502320,5.14%,73.18%
B01702,BLACK MARBLE SECURITIES LTD,11096848,2.53%,75.71%
C00033,BANK OF CHINA (HONG KONG) LTD,7769880,1.77%,77.49%
B01955,FUTU SECURITIES INTERNATIONAL,7715672,1.76%,79.25%
B01556,LUK FOOK SECURITIES (HK) LTD,6659000,1.52%,80.77%
C00019,THE HONGKONG AND SHANGHAI BANKING,5071160,1.15%,81.93%
B01610,KGI ASIA LTD,4320960,0.98%,82.92%
B02028,SORRENTO SECURITIES LTD,3885000,0.88%,83.80%
B01938,CHINA INDUSTRIAL SECURITIES,3150800,0.71%,84.52%
B01086,EVERBRIGHT SECURITIES INVESTMENT,3068760,0.70%,85.22%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,3040080,0.69%,85.92%
B01130,BOCI SECURITIES LTD,2917520,0.66%,86.59%
B01904,VALUABLE CAPITAL LTD,2557400,0.58%,87.17%
B01401,MEGABASE SECURITIES LTD,2500000,0.57%,87.74%
B01284,HANG SENG SECURITIES LTD,1928240,0.44%,88.18%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,1173000,0.26%,88.45%
B01584,CHIEF SECURITIES LTD,985400,0.22%,88.67%
B01275,SANFULL SECURITIES LTD,954400,0.21%,88.89%
B01695,DAH SING SECURITIES LTD,952200,0.21%,89.11%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,871800,0.19%,89.31%
B01590,INTERACTIVE BROKERS HONG KONG LTD,827400,0.18%,89.50%
B02195,LONG BRIDGE HK LTD,810000,0.18%,89.68%
C00042,CMB WING LUNG BANK LTD,799040,0.18%,89.87%
C00028,NANYANG COMMERCIAL BANK LTD,684960,0.15%,90.02%
B01427,TSE'S SECURITIES LTD,677600,0.15%,90.18%
B01939,SOOCHOW SECURITIES INTERNATIONAL,650000,0.14%,90.33%
B01886,CNI SECURITIES GROUP LTD,638960,0.14%,90.47%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,616320,0.14%,90.61%
C00010,CITIBANK N.A.,558680,0.12%,90.74%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,516560,0.11%,90.86%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,409680,0.09%,90.95%
B01727,ICBC (ASIA) SECURITIES LTD,398240,0.09%,91.04%
B01680,SUCCESS SECURITIES LTD,393600,0.08%,91.13%
B01423,PRUDENTIAL BROKERAGE LTD,312760,0.07%,91.20%
B01340,LEHIN SECURITIES LTD,265600,0.06%,91.26%
C00048,CHIYU BANKING CORPORATION LTD,237520,0.05%,91.32%
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,232400,0.05%,91.37%
B01118,EAST ASIA SECURITIES CO LTD,222520,0.05%,91.42%
C00093,BNP PARIBAS,220400,0.05%,91.47%
B02001,CHINA PROSPECT SECURITIES LTD,218000,0.04%,91.52%
C00041,OCBC BANK (HONG KONG) LTD,196600,0.04%,91.57%
B01184,QUAM SECURITIES LTD,181360,0.04%,91.61%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,180560,0.04%,91.65%
B01814,WELL LINK SECURITIES LTD,180000,0.04%,91.69%
B01183,CHONG HING SECURITIES LTD,179080,0.04%,91.73%
C00015,DBS BANK (HONG KONG) LTD,172000,0.03%,91.77%
B01161,UBS SECURITIES HONG KONG LTD,156000,0.03%,91.81%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,152400,0.03%,91.84%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),150000,0.03%,91.88%
C00036,CHINA CONSTRUCTION BANK (ASIA),145200,0.03%,91.91%
B01356,DELTA ASIA SECURITIES LTD,134600,0.03%,91.94%
C00088,CHINA MERCHANTS BANK CO LTD,129600,0.02%,91.97%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,128400,0.02%,92.00%
B01585,SINO GRADE SECURITIES LTD,120400,0.02%,92.03%
C00037,SHANGHAI COMMERCIAL BANK LTD,118360,0.02%,92.05%
B01676,TAI SHING STOCK INVESTMENT CO LTD,110000,0.02%,92.08%
B01756,CHINA SKY SECURITIES LTD,110000,0.02%,92.10%
B02142,TIGER BROKERS (HK) GLOBAL LTD,110000,0.02%,92.13%
B01459,IFAST SECURITIES (HK) LTD,108000,0.02%,92.15%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,105520,0.02%,92.18%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,104320,0.02%,92.20%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,88560,0.02%,92.22%
B01988,KOALA SECURITIES LTD,80000,0.01%,92.24%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,57200,0.01%,92.25%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,56800,0.01%,92.27%
B02175,WEBULL SECURITIES LTD,54400,0.01%,92.28%
B01497,SINOPAC SECURITIES (ASIA) LTD,53840,0.01%,92.29%
B02132,BOOM SECURITIES (H.K.) LTD,51680,0.01%,92.30%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,50400,0.01%,92.31%
B01224,MERRILL LYNCH FAR EAST LTD,50000,0.01%,92.33%
B01551,YUE XIU SECURITIES CO LTD,50000,0.01%,92.34%
B01324,FUNDERSTONE SECURITIES LTD,48800,0.01%,92.35%
B01809,CHINA SYSTEM SECURITIES LTD,44000,0.01%,92.36%
B01788,SUNRISE SECURITIES LTD,40000,0.00%,92.37%
B01673,FULBRIGHT SECURITIES LTD,39600,0.00%,92.38%
C00003,THE BANK OF EAST ASIA LTD,39040,0.00%,92.39%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,36560,0.00%,92.39%
B01119,CELESTIAL SECURITIES LTD,35200,0.00%,92.40%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,32800,0.00%,92.41%
B01511,TAT LEE SECURITIES CO LTD,27600,0.00%,92.42%
B01649,CINDA INTERNATIONAL SECURITIES LTD,26640,0.00%,92.42%
B01433,HING WAI ALLIED SECURITIES LTD,26000,0.00%,92.43%
B01700,REALINK FINANCIAL TRADE LTD,24400,0.00%,92.43%
B01373,CHRISTFUND SECURITIES LTD,20000,0.00%,92.44%
B01458,YICKO SECURITIES LTD,18640,0.00%,92.44%
B01563,XINKONG INTERNATIONAL SECURITIES LTD,18400,0.00%,92.45%
B01129,WOCOM SECURITIES LTD,18000,0.00%,92.45%
B01686,FIRST SHANGHAI SECURITIES LTD,17360,0.00%,92.45%
B01173,RIFA SECURITIES LTD,17200,0.00%,92.46%
B01901,CMB INTERNATIONAL SECURITIES LTD,16800,0.00%,92.46%
B01588,LEI SHING HONG SECURITIES LTD,16000,0.00%,92.47%
B01900,ORIENT SECURITIES (HONG KONG) LTD,15600,0.00%,92.47%
B01666,GLORY SUN SECURITIES LTD,15360,0.00%,92.47%
B01936,MIGHTY BROKERAGE (ASIA) LTD,14400,0.00%,92.48%
B01158,SOLID KING SECURITIES LTD,14000,0.00%,92.48%
B01734,KCG SECURITIES ASIA LTD,13200,0.00%,92.48%
B01546,WO FUNG SECURITIES CO LTD,12320,0.00%,92.48%
B01789,HO FUNG SHARES INVESTMENT LTD,12000,0.00%,92.49%
B01525,KEE CHEONG SECURITIES CO LTD,11840,0.00%,92.49%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),10800,0.00%,92.49%
B01915,METAVERSE SECURITIES LTD,10800,0.00%,92.50%
B01353,UOB KAY HIAN (HONG KONG) LTD,10080,0.00%,92.50%
B01298,GET NICE SECURITIES LTD,10000,0.00%,92.50%
B01949,GRAND CHINA SECURITIES LTD,10000,0.00%,92.50%
B01514,KARL-THOMSON SECURITIES CO LTD,9200,0.00%,92.50%
B02093,UPMAX SECURITIES LTD,8080,0.00%,92.51%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,7800,0.00%,92.51%
B01169,PUBLIC FINANCIAL SECURITIES LTD,7680,0.00%,92.51%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,7440,0.00%,92.51%
B01523,EVER-LONG SECURITIES CO LTD,7200,0.00%,92.51%
B01240,TSUN CHI YUEN SECURITIES CO LTD,7080,0.00%,92.51%
B02128,SILVERBRICKS SECURITIES CO LTD,6480,0.00%,92.52%
B01289,SOUTH CHINA SECURITIES LTD,6160,0.00%,92.52%
B01773,TOYO SECURITIES ASIA LTD,5200,0.00%,92.52%
B01416,VC BROKERAGE LTD,4800,0.00%,92.52%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,4680,0.00%,92.52%
B01769,ONE CHINA SECURITIES LTD,4550,0.00%,92.52%
B01963,TFI SECURITIES AND FUTURES LTD,4400,0.00%,92.52%
B01338,EMPEROR SECURITIES LTD,4000,0.00%,92.52%
B01669,FIRST SECURITIES (HK) LTD,4000,0.00%,92.52%
B01741,SINOMAX SECURITIES LTD,4000,0.00%,92.53%
B02078,AFFLUX SECURITIES LTD,4000,0.00%,92.53%
B01685,ARK SECURITIES (HONG KONG) LTD,3600,0.00%,92.53%
B01905,SDIC SECURITIES (HONG KONG) LTD,3600,0.00%,92.53%
B01209,MASON SECURITIES LTD,3200,0.00%,92.53%
B01343,CELETIO INVESTMENTS LTD,2800,0.00%,92.53%
B01470,HUNG SING SECURITIES LTD,2400,0.00%,92.53%
B01696,HANTEC SECURITIES CO LTD,2400,0.00%,92.53%
C00018,HANG SENG BANK LTD,2400,0.00%,92.53%
B01198,PO KAY SECURITIES & SHARES CO LTD,2000,0.00%,92.53%
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD,2000,0.00%,92.53%
B01267,WINFULL SECURITIES LTD,1600,0.00%,92.53%
B01351,WING FUNG SECURITIES LTD,1600,0.00%,92.53%
B01438,KINGSTON SECURITIES LTD,1600,0.00%,92.53%
B01857,KAISA FINANCIAL GROUP CO LTD,1600,0.00%,92.53%
B01755,T G SECURITIES LTD,1440,0.00%,92.53%
B01123,HING WONG SECURITIES LTD,1200,0.00%,92.53%
B01252,CORPORATE BROKERS LTD,1200,0.00%,92.53%
B01294,CS WEALTH SECURITIES LTD,1200,0.00%,92.53%
B01439,TAI TAK SECURITIES (ASIA) LTD,1200,0.00%,92.53%
B01843,TELECOM KING SECURITIES LTD,1200,0.00%,92.54%
B01937,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,1200,0.00%,92.54%
B01450,DL BROKERAGE LTD,800,0.00%,92.54%
B01494,AUDREY CHOW SECURITIES LTD,800,0.00%,92.54%
B01601,CSC SECURITIES (HK) LTD,800,0.00%,92.54%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,800,0.00%,92.54%
B01716,ORIENT SECURITIES LTD,640,0.00%,92.54%
B01329,BLOOMYEARS LTD,480,0.00%,92.54%
B01921,GONG PING SECURITIES LTD,400,0.00%,92.54%
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,240,0.00%,92.54%
B01272,FB SECURITIES (HONG KONG) LTD,80,0.00%,92.54%
B01664,ROOFER SECURITIES LTD,80,0.00%,92.54%
B01848,CATHAY SECURITIES (HONG KONG) LTD,80,0.00%,92.54%
,HONG KONG SECURITIES CLEARING CO. LTD.,1,0.00%,92.54%
