ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
C00019,THE HONGKONG AND SHANGHAI BANKING,409172357,16.25%,16.26%
C00010,CITIBANK N.A.,199073661,7.91%,24.17%
C00093,BNP PARIBAS,160257149,6.36%,30.54%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,156376557,6.21%,36.75%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,112438602,4.46%,41.22%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,68035000,2.70%,43.92%
C00033,BANK OF CHINA (HONG KONG) LTD,56606987,2.24%,46.17%
C00018,HANG SENG BANK LTD,54999039,2.18%,48.36%
B01161,UBS SECURITIES HONG KONG LTD,51167886,2.03%,50.39%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,43806769,1.74%,52.13%
B01284,HANG SENG SECURITIES LTD,26592958,1.05%,53.19%
B01993,CROSBY SECURITIES LTD,26104564,1.03%,54.22%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,25922756,1.03%,55.25%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,17441779,0.69%,55.95%
B01955,FUTU SECURITIES INTERNATIONAL,16038390,0.63%,56.58%
B01353,UOB KAY HIAN (HONG KONG) LTD,11418214,0.45%,57.04%
C00074,DEUTSCHE BANK AG,11207571,0.44%,57.48%
C00015,DBS BANK (HONG KONG) LTD,11035442,0.43%,57.92%
B01224,MERRILL LYNCH FAR EAST LTD,8951563,0.35%,58.28%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,8186279,0.32%,58.60%
B01727,ICBC (ASIA) SECURITIES LTD,7172721,0.28%,58.89%
C00041,OCBC BANK (HONG KONG) LTD,6834565,0.27%,59.16%
C00028,NANYANG COMMERCIAL BANK LTD,6781836,0.26%,59.43%
P00013,CHOW TAI FOOK JEWELLERY CO LTD,6746007,0.26%,59.70%
C00037,SHANGHAI COMMERCIAL BANK LTD,6668587,0.26%,59.96%
B01130,BOCI SECURITIES LTD,6635198,0.26%,60.23%
C00042,CMB WING LUNG BANK LTD,5714986,0.22%,60.45%
C00048,CHIYU BANKING CORPORATION LTD,5582430,0.22%,60.68%
B01590,INTERACTIVE BROKERS HONG KONG LTD,5350220,0.21%,60.89%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,5023242,0.19%,61.09%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,4975035,0.19%,61.28%
B01086,EVERBRIGHT SECURITIES INVESTMENT,4922190,0.19%,61.48%
C00003,THE BANK OF EAST ASIA LTD,4688628,0.18%,61.67%
B01695,DAH SING SECURITIES LTD,3717099,0.14%,61.81%
C00016,DBS BANK LTD,3669420,0.14%,61.96%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,3604108,0.14%,62.10%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,3435377,0.13%,62.24%
B01183,CHONG HING SECURITIES LTD,3233492,0.12%,62.37%
C00036,CHINA CONSTRUCTION BANK (ASIA),3212745,0.12%,62.50%
B01118,EAST ASIA SECURITIES CO LTD,2848706,0.11%,62.61%
B01971,HGNH INTERNATIONAL SECURITIES CO LTD,2386000,0.09%,62.70%
B01298,GET NICE SECURITIES LTD,2270417,0.09%,62.79%
B01901,CMB INTERNATIONAL SECURITIES LTD,2117911,0.08%,62.88%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,1964384,0.07%,62.96%
B01584,CHIEF SECURITIES LTD,1862072,0.07%,63.03%
B01347,CGS INTERNATIONAL SECURITIES HK LTD,1805199,0.07%,63.10%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,1573161,0.06%,63.16%
B01610,KGI ASIA LTD,1438246,0.05%,63.22%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,1239034,0.04%,63.27%
B01556,LUK FOOK SECURITIES (HK) LTD,1227691,0.04%,63.32%
B01497,SINOPAC SECURITIES (ASIA) LTD,1131721,0.04%,63.37%
B02042,MONMONKEY GROUP SECURITIES LTD,1001000,0.03%,63.40%
B01552,CARRIER STOCK INVESTMENT CO LTD,972765,0.03%,63.44%
B01138,CLSA LTD,917438,0.03%,63.48%
C00111,SOCIETE GENERALE,897121,0.03%,63.52%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,865838,0.03%,63.55%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,743676,0.02%,63.58%
B01264,MIB SECURITIES (HONG KONG) LTD,718687,0.02%,63.61%
B01904,VALUABLE CAPITAL LTD,673825,0.02%,63.63%
B01941,CENTALINE SECURITIES LTD,671973,0.02%,63.66%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,638314,0.02%,63.69%
B01762,DBS VICKERS (HONG KONG) LTD,572565,0.02%,63.71%
B01511,TAT LEE SECURITIES CO LTD,569251,0.02%,63.73%
B01129,WOCOM SECURITIES LTD,555307,0.02%,63.75%
B01423,PRUDENTIAL BROKERAGE LTD,553690,0.02%,63.78%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,493086,0.01%,63.80%
B01576,SIU ON SECURITIES LTD,488956,0.01%,63.82%
B01885,HAFOO SECURITIES LTD,461000,0.01%,63.83%
C00095,EFG BANK AG,435645,0.01%,63.85%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,429048,0.01%,63.87%
B01577,YF SECURITIES CO LTD,424806,0.01%,63.88%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,421932,0.01%,63.90%
C00088,CHINA MERCHANTS BANK CO LTD,398065,0.01%,63.92%
B01272,FB SECURITIES (HONG KONG) LTD,386557,0.01%,63.93%
B01963,TFI SECURITIES AND FUTURES LTD,375000,0.01%,63.95%
B01252,CORPORATE BROKERS LTD,374578,0.01%,63.96%
B01580,OSHIDORI SECURITIES LTD,365173,0.01%,63.98%
B01673,FULBRIGHT SECURITIES LTD,357254,0.01%,63.99%
B01169,PUBLIC FINANCIAL SECURITIES LTD,336021,0.01%,64.00%
B01546,WO FUNG SECURITIES CO LTD,328062,0.01%,64.02%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,327250,0.01%,64.03%
B01564,ABCI SECURITIES CO LTD,312100,0.01%,64.04%
B01119,CELESTIAL SECURITIES LTD,307278,0.01%,64.06%
B01538,MORTON SECURITIES LTD,306843,0.01%,64.07%
B01184,QUAM SECURITIES LTD,301961,0.01%,64.08%
B01438,KINGSTON SECURITIES LTD,288750,0.01%,64.09%
B01947,FUBON SECURITIES (HONG KONG) LTD,281982,0.01%,64.10%
B01275,SANFULL SECURITIES LTD,265568,0.01%,64.11%
B01289,SOUTH CHINA SECURITIES LTD,262146,0.01%,64.12%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,260191,0.01%,64.13%
B02142,TIGER BROKERS (HK) GLOBAL LTD,243978,0.00%,64.14%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,234786,0.00%,64.15%
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG),233528,0.00%,64.16%
B02159,USMART SECURITIES LTD,231439,0.00%,64.17%
B01324,FUNDERSTONE SECURITIES LTD,228045,0.00%,64.18%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,222358,0.00%,64.19%
B01425,WELLFULL SECURITIES CO LTD,218318,0.00%,64.20%
B01940,SOFI SECURITIES (HONG KONG) LTD,212250,0.00%,64.21%
B02195,LONG BRIDGE HK LTD,211250,0.00%,64.21%
B01459,IFAST SECURITIES (HK) LTD,205444,0.00%,64.22%
B01209,MASON SECURITIES LTD,195237,0.00%,64.23%
B01649,CINDA INTERNATIONAL SECURITIES LTD,189439,0.00%,64.24%
B01696,HANTEC SECURITIES CO LTD,185927,0.00%,64.25%
B01809,CHINA SYSTEM SECURITIES LTD,179524,0.00%,64.25%
B01173,RIFA SECURITIES LTD,171133,0.00%,64.26%
B01905,SDIC SECURITIES (HONG KONG) LTD,170766,0.00%,64.27%
B01267,WINFULL SECURITIES LTD,158995,0.00%,64.27%
B01356,DELTA ASIA SECURITIES LTD,157065,0.00%,64.28%
B01588,LEI SHING HONG SECURITIES LTD,154922,0.00%,64.28%
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,150825,0.00%,64.29%
B01823,ANGLO CHINESE SECURITIES LTD,147000,0.00%,64.30%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,146539,0.00%,64.30%
B02175,WEBULL SECURITIES LTD,145911,0.00%,64.31%
B01813,CCB INTERNATIONAL SECURITIES LTD,143751,0.00%,64.31%
B02138,TIGER FAITH SECURITIES LTD,143000,0.00%,64.32%
B02132,BOOM SECURITIES (H.K.) LTD,135581,0.00%,64.32%
B01939,SOOCHOW SECURITIES INTERNATIONAL,134457,0.00%,64.33%
B01787,SOO PUI CHEN SECURITIES LTD,133686,0.00%,64.34%
B01343,CELETIO INVESTMENTS LTD,133416,0.00%,64.34%
