ID,Name,ShareholdingDecimal,Percentage,CumulativePercentage
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,947031024,11.78%,11.78%
C00019,THE HONGKONG AND SHANGHAI BANKING,914406720,11.37%,23.16%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,716124903,8.90%,32.07%
C00033,BANK OF CHINA (HONG KONG) LTD,447130000,5.56%,37.63%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,247430000,3.07%,40.71%
C00042,CMB WING LUNG BANK LTD,229400000,2.85%,43.56%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,226338000,2.81%,46.38%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,210523044,2.61%,49.00%
B01756,CHINA SKY SECURITIES LTD,175244000,2.18%,51.18%
B01955,FUTU SECURITIES INTERNATIONAL,163780000,2.03%,53.22%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,153074000,1.90%,55.12%
B01324,FUNDERSTONE SECURITIES LTD,151849071,1.88%,57.01%
B01130,BOCI SECURITIES LTD,106836000,1.32%,58.34%
B01284,HANG SENG SECURITIES LTD,66478000,0.82%,59.17%
B01939,SOOCHOW SECURITIES INTERNATIONAL,64210000,0.79%,59.97%
B01901,CMB INTERNATIONAL SECURITIES LTD,56900000,0.70%,60.67%
B01423,PRUDENTIAL BROKERAGE LTD,56396400,0.70%,61.38%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,55548000,0.69%,62.07%
B01610,KGI ASIA LTD,49168108,0.61%,62.68%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,33284000,0.41%,63.09%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,33010000,0.41%,63.50%
C00028,NANYANG COMMERCIAL BANK LTD,32420000,0.40%,63.91%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,32351000,0.40%,64.31%
B02075,INNOVAX SECURITIES LTD,32104000,0.39%,64.71%
C00010,CITIBANK N.A.,31913000,0.39%,65.11%
B01727,ICBC (ASIA) SECURITIES LTD,29080000,0.36%,65.47%
B01556,LUK FOOK SECURITIES (HK) LTD,25146000,0.31%,65.78%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,20756000,0.25%,66.04%
B02159,USMART SECURITIES LTD,20440000,0.25%,66.29%
C00015,DBS BANK (HONG KONG) LTD,20104000,0.25%,66.54%
B01086,EVERBRIGHT SECURITIES INVESTMENT,19678000,0.24%,66.79%
B01511,TAT LEE SECURITIES CO LTD,18568000,0.23%,67.02%
B01590,INTERACTIVE BROKERS HONG KONG LTD,18530000,0.23%,67.25%
B01813,CCB INTERNATIONAL SECURITIES LTD,17890000,0.22%,67.47%
B01962,CHINA SECURITIES (INTERNATIONAL),16270000,0.20%,67.67%
B01119,CELESTIAL SECURITIES LTD,15550000,0.19%,67.87%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),15460000,0.19%,68.06%
B01584,CHIEF SECURITIES LTD,14882001,0.18%,68.25%
C00037,SHANGHAI COMMERCIAL BANK LTD,14378000,0.17%,68.42%
C00088,CHINA MERCHANTS BANK CO LTD,14218000,0.17%,68.60%
B01497,SINOPAC SECURITIES (ASIA) LTD,14176000,0.17%,68.78%
C00003,THE BANK OF EAST ASIA LTD,12728000,0.15%,68.94%
B02142,TIGER BROKERS (HK) GLOBAL LTD,11596000,0.14%,69.08%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,11106000,0.13%,69.22%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,10968000,0.13%,69.36%
B02195,LONG BRIDGE HK LTD,10720000,0.13%,69.49%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,10256000,0.12%,69.62%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,9928000,0.12%,69.74%
